OID_,POU_INDEX,POU_ID,IDU_ID,IDU_WW2100,WRIS_ID,AREA_POU,PERCENT_POU,AREA_IDU,PERCENT_IDU,USECODE,PERMITCODE,XCOORD,YCOORD,CERTIFICATE
706,706,127402,39756,39756,112124,11182.141373395799747,1.831986292496429,58040.744428327896458,0.352950843732114,2048,-99,556944.387699999846518,4889597.852600000798702,-99
707,707,127402,39966,39966,112124,11182.141373395799747,6.612022468558802,88467.951664899897878,0.835744115423311,2048,-99,556474.045199999585748,4889695.992200000211596,-99
708,708,127402,40061,40061,112124,11182.141373395799747,84.819072331849668,585034.575487348949537,1.621201374610956,2048,-99,557201.894399999640882,4889894.986500000581145,-99
709,709,127402,40082,40082,112124,11182.141373395799747,6.736898265559331,82560.169774049296393,0.912461166563013,2048,-99,556526.045400000177324,4889975.370300000533462,-99
710,710,127401,40634,40634,112123,11031.443675467100547,23.207834227052118,468305.460293842013925,0.546685737861488,2048,-99,553607.874499999918044,4890420.986199999228120,-99
711,711,67936,35617,35617,83998,2612.112348740240122,100.000000000000000,196456.948556504008593,1.329610567573769,16,2,525936.047600000165403,4883907.587600000202656,-99
712,712,70887,37030,37030,86570,58162.768166283101891,0.049124775004438,59038.337663935097225,0.048396228838085,16,2,530641.488599999807775,4885955.756599999964237,-99
713,713,70887,37047,37047,86570,58162.768166283101891,0.032823170170408,25641.075924990498606,0.074454225036761,16,2,530940.565799999982119,4885980.489800000563264,-99
714,714,70887,37195,37195,86570,58162.768166283101891,99.420550654206536,58738.988532474199019,98.445250473931623,16,2,530860.036500000394881,4886204.112199999392033,-99
715,715,71393,36330,36330,87006,211029.730857712012948,73.642753751610385,156061.081050759006757,99.581589459632397,16,2,505771.618999999947846,4884747.230699999257922,-99
716,716,71393,36365,36365,87006,211029.730857712012948,0.004283309529030,58906.773093089897884,0.015344681258691,16,2,506141.287999999709427,4884974.324200000613928,-99
717,717,71393,36738,36738,87006,211029.730857712012948,25.006499569665774,53053.094368294499873,99.468559500909350,16,2,505882.330199999734759,4885011.700200000777841,-99
718,718,71844,41114,41114,87395,19186.343139585598692,100.000000000000000,347127.052873082982842,5.527181756876936,16,4,568039.824300000444055,4891340.873299999162555,-99
719,719,71737,41992,41992,87300,176.413988287445989,100.000000000000000,60263.450398853798106,0.292737948324979,16,2,509158.405199999921024,4892733.339700000360608,-99
720,720,71394,32769,32769,87007,8577.279712855910475,100.000000000000000,344445.719627560989466,2.490168762187050,16,2,510805.081699999980628,4879615.306299999356270,-99
721,721,71455,30163,30163,87055,5226.526325962249757,71.278622268433168,73591.007820897400961,5.062297783323687,16,2,512539.969800000078976,4876705.802500000223517,-99
722,722,71845,39122,39122,87396,2547.727956505380007,69.167327872445426,30352.258489269999700,5.805812933482343,16,4,550926.992899999953806,4888693.225899999961257,-99
723,723,71854,40111,40111,87405,1688.777549487289889,100.000000000000000,179490.777083633991424,0.940871490405550,16,2,553465.085500000044703,4889868.115800000727177,-99
724,724,72138,45535,45535,87644,144982.455451379995793,2.008581055547719,976299.249402332003228,0.298278436232236,16,2,516641.484199999831617,4897714.574100000783801,-99
725,725,72138,45539,45539,87644,144982.455451379995793,0.000088631527759,46406.016974839098111,0.000276904103446,16,2,516054.822900000028312,4897889.721499999985099,-99
726,726,72138,45569,45569,87644,144982.455451379995793,35.256833272113518,66773.610421250094078,76.551533262670517,16,2,516224.289599999785423,4897982.384199999272823,-99
727,727,72138,45651,45651,87644,144982.455451379995793,0.001905904161476,25733.863327596700401,0.010737706253745,16,2,515851.534599999897182,4898153.879799999296665,-99
728,728,72138,45652,45652,87644,144982.455451379995793,3.051000649570628,71137.880636393994791,6.218087491521416,16,2,516611.210799999535084,4898124.736400000751019,-99
729,729,72138,45693,45693,87644,144982.455451379995793,59.424633352752856,100877.326485407000291,85.406003092542420,16,2,516241.740299999713898,4898170.378799999132752,-99
730,730,72138,45998,45998,87644,144982.455451379995793,0.191047051021171,161849.056602413998917,0.171137670773309,16,2,516183.792799999937415,4898415.996899999678135,-99
731,731,71343,31926,31926,86965,72371.644851113102050,47.471992946696567,34800.904387832903012,98.722325593182987,16,2,504506.910500000230968,4879096.113399999216199,-99
732,732,71343,31928,31928,86965,72371.644851113102050,34.827928220875897,25205.546472849899146,99.999992256319445,16,2,504588.051799999549985,4879190.161299999803305,-99
733,733,71343,32119,32119,86965,72371.644851113102050,16.867374053218786,214777.197046668006806,5.683655533902816,16,2,504539.263399999588728,4879430.733799999579787,-99
734,734,127090,35846,35846,1925,26.260708524731399,100.000000000000000,141049.087021259008907,0.018618134352598,2048,-99,496701.738400000147521,4884090.199899999424815,-99
735,735,127091,37053,37053,1926,26.250830524830800,100.000000000000000,191872.443434128013905,0.013681396898374,2048,-99,542115.569400000385940,4885837.654300000518560,-99
