t, o
0, 0.572000
0, 0.523862
0, 0.506872
0, 0.509703
0, 0.472891
0, 0.478555
0, 0.538020
0, 0.651287
0, 0.586159
0, 0.538020
0, 0.481386
0, 0.413426
0, 0.413426
0, 0.351129
0, 0.351129
0, 0.291664
0, 0.270992
0, 0.283168
0, 0.288832
0, 0.277222
0, 0.317149
0, 0.317149
0, 0.345466
0, 0.302990
0, 0.294495
0, 0.297327
0, 0.282602
0, 0.282885
0, 0.251454
0, 0.251454
0, 0.244091
0, 0.202465
0, 0.235313
0, 0.234747
0, 0.228234
0, 0.183776
0, 0.185192
0, 0.182077
0, 0.195953
0, 0.222570
0, 0.271275
0, 0.248905
0, 0.220871
0, 0.214359
0, 0.232764
0, 0.205297
0, 0.218889
0, 0.238711
0, 0.262214
0, 0.441743
0, 0.758891
0, 0.639961
0, 0.566337
0, 0.416258
0, 0.342634
0, 0.294495
0, 0.264196
0, 0.262214
0, 0.256267
0, 0.255135
0, 0.261931
0, 0.267877
0, 0.294495
0, 0.404931
0, 0.370951
0, 0.492713
0, 0.588990
0, 0.506872
0, 0.529525
0, 0.498377
0, 0.444574
0, 0.413426
0, 0.399268
0, 0.373782
0, 0.368119
0, 0.365287
0, 0.368119
0, 0.370951
0, 0.351129
0, 0.339802
0, 0.331307
0, 0.348297
0, 0.370951
0, 0.399268
0, 0.419089
0, 0.433248
0, 0.444574
0, 0.458733
0, 0.492713
0, 0.487050
0, 0.583327
0, 0.662614
0, 0.702258
0, 0.764555
0, 0.787208
0, 0.809862
0, 0.736238
0, 0.736238
0, 0.792872
0, 0.792872
0, 0.818357
0, 2.548516
0, 2.831685
0, 3.114853
0, 2.265348
0, 2.265348
0, 2.548516
0, 2.265348
0, 1.840595
0, 1.699011
0, 2.265348
0, 1.982179
0, 2.406932
0, 2.265348
0, 1.840595
0, 1.557427
0, 1.189308
0, 1.189308
0, 1.245941
0, 1.132674
0, 1.076040
0, 1.008080
0, 0.957109
0, 0.914634
0, 0.860832
0, 0.826852
0, 0.809862
0, 0.872159
0, 0.954278
0, 0.957109
0, 0.923129
0, 0.860832
0, 0.821189
0, 1.223288
0, 2.916635
0, 6.229706
0, 13.139017
0, 20.982783
0, 31.148531
0, 71.924790
0, 43.607944
0, 32.564374
0, 23.984369
0, 19.028921
0, 28.316847
0, 23.927735
0, 19.312089
0, 15.829117
0, 13.478819
0, 13.337235
0, 33.980216
0, 31.431700
0, 29.166352
0, 41.625765
0, 81.552518
0, 51.253492
0, 37.661406
0, 45.873291
0, 50.970324
0, 45.306955
0, 31.148531
0, 24.890508
0, 19.878426
0, 16.678623
0, 14.328324
0, 13.252284
0, 17.471494
0, 29.449520
0, 25.570112
0, 20.529714
0, 17.556445
0, 15.007929
0, 13.450502
0, 12.091293
0, 10.958620
0, 10.165748
0, 10.845352
0, 11.893076
0, 11.326739
0, 11.043570
0, 17.046742
0, 19.736842
0, 16.253870
0, 15.206147
0, 39.077248
0, 58.049536
0, 89.481235
0, 67.110926
0, 45.023786
0, 31.431700
0, 24.607340
0, 20.161595
0, 16.990108
0, 14.724760
0, 13.025749
0, 11.808125
0, 10.845352
0, 9.910896
0, 9.202975
0, 8.551688
0, 8.806539
0, 9.967530
0, 17.216643
0, 30.865363
0, 22.370309
0, 18.009514
0, 16.310504
0, 15.772484
0, 14.866344
0, 13.705354
0, 13.025749
0, 11.326739
0, 10.760402
0, 10.194065
0, 9.740995
0, 8.948124
0, 9.287926
0, 8.834856
0, 8.523371
0, 10.420600
0, 26.023182
0, 62.863399
0, 57.483199
0, 41.059428
0, 29.732689
0, 24.380805
0, 21.945556
0, 24.267538
0, 28.316847
0, 24.663973
0, 20.784565
0, 17.698029
0, 16.423771
0, 19.113871
0, 23.757834
0, 56.916862
0, 60.031715
0, 44.457449
0, 34.829721
0, 30.582194
0, 27.750510
0, 25.032092
0, 21.662388
0, 18.830703
0, 16.593672
0, 15.149513
0, 14.951295
0, 18.037831
0, 23.871102
0, 22.766745
0, 33.980216
0, 32.564374
0, 26.561202
0, 21.832289
0, 18.604168
0, 16.282187
0, 16.253870
0, 21.973873
0, 18.066148
0, 15.630899
0, 14.526542
0, 13.592086
0, 12.600997
0, 11.609907
0, 10.760402
0, 11.326739
0, 10.279015
0, 11.779808
0, 15.404365
0, 14.639810
0, 14.130106
0, 13.025749
0, 11.949709
0, 11.156838
0, 10.533867
0, 9.656045
0, 8.891490
0, 8.240202
0, 9.231292
0, 11.270105
0, 10.307332
0, 9.287926
0, 8.693272
0, 8.041984
0, 7.447331
0, 7.192479
0, 7.164162
0, 6.427924
0, 5.974855
0, 5.635052
0, 5.550102
0, 5.436835
0, 5.181983
0, 4.842181
0, 4.587329
0, 4.417428
0, 4.219210
0, 4.049309
0, 3.907725
0, 3.851091
0, 3.681190
0, 3.511289
0, 3.398022
0, 3.284754
0, 3.228121
0, 3.171487
0, 3.001586
0, 2.860002
0, 2.752397
0, 2.624972
0, 2.506041
0, 2.372952
0, 2.279506
0, 2.262516
0, 2.222872
0, 2.208714
0, 2.163407
0, 2.163407
0, 2.186061
0, 2.163407
0, 2.069961
0, 1.951031
0, 1.854753
0, 1.795288
0, 1.834932
0, 1.795288
0, 1.775466
0, 1.778298
0, 1.764140
0, 1.713169
0, 1.625387
0, 1.531941
0, 1.432832
0, 1.367704
0, 1.291248
0, 1.265763
0, 1.248773
0, 1.226119
0, 1.200634
0, 1.160991
0, 1.149664
0, 1.112852
0, 1.067545
0, 1.061882
0, 1.078872
0, 1.013743
0, 0.985426
0, 0.937288
0, 0.937288
0, 0.900476
0, 0.891981
0, 0.880654
0, 0.826852
0, 0.781545
0, 0.750396
0, 0.705089
0, 0.662614
0, 0.637129
0, 0.631466
0, 0.591822
0, 0.597485
0, 0.591822
0, 0.555010
0, 0.518198
0, 0.492713
0, 0.472891
0, 0.464396
0, 0.444574
0, 0.447406
0, 0.481386
0, 0.506872
0, 0.538020
0, 0.594654
0, 0.526693
0, 0.504040
0, 0.515367
0, 0.487050
0, 0.453070
0, 0.430416
0, 0.379446
0, 0.356792
0, 0.334139
0, 0.345466
0, 0.393604
0, 0.314317
0, 0.286000
0, 0.314317
0, 0.302990
0, 0.268161
0, 0.325644
0, 0.342634
0, 0.319980
0, 0.356792
0, 0.348297
0, 0.331307
0, 0.328475
0, 0.334139
0, 0.328475
0, 0.300159
0, 0.265895
0, 0.265046
0, 0.248339
