station_nbr	record_date	mean_daily_flow_cfs	published_status	estimated	revised	download_date
14171000	03-22-2013	610   	Published			09-07-2017 18:47
14171000	03-23-2013	538   	Published			09-07-2017 18:47
14171000	03-24-2013	477   	Published			09-07-2017 18:47
14171000	03-25-2013	429   	Published			09-07-2017 18:47
14171000	03-26-2013	391   	Published			09-07-2017 18:47
14171000	03-27-2013	363   	Published			09-07-2017 18:47
14171000	03-28-2013	346   	Published			09-07-2017 18:47
14171000	03-29-2013	328   	Published			09-07-2017 18:47
14171000	03-30-2013	300   	Published			09-07-2017 18:47
14171000	03-31-2013	282   	Published			09-07-2017 18:47
14171000	04-01-2013	266   	Published			09-07-2017 18:47
14171000	04-02-2013	253   	Published			09-07-2017 18:47
14171000	04-03-2013	241   	Published			09-07-2017 18:47
14171000	04-04-2013	242   	Published			09-07-2017 18:47
14171000	04-05-2013	254   	Published			09-07-2017 18:47
14171000	04-06-2013	406   	Published			09-07-2017 18:47
14171000	04-07-2013	658   	Published			09-07-2017 18:47
14171000	04-08-2013	699   	Published			09-07-2017 18:47
14171000	04-09-2013	577   	Published			09-07-2017 18:47
14171000	04-10-2013	484   	Published			09-07-2017 18:47
14171000	04-11-2013	427   	Published			09-07-2017 18:47
14171000	04-12-2013	379   	Published			09-07-2017 18:47
14171000	04-13-2013	354   	Published			09-07-2017 18:47
14171000	04-14-2013	334   	Published			09-07-2017 18:47
14171000	04-15-2013	321   	Published			09-07-2017 18:47
14171000	04-16-2013	298   	Published			09-07-2017 18:47
14171000	04-17-2013	298   	Published			09-07-2017 18:47
14171000	04-18-2013	281   	Published			09-07-2017 18:47
14171000	04-19-2013	276   	Published			09-07-2017 18:47
14171000	04-20-2013	291   	Published			09-07-2017 18:47
14171000	04-21-2013	280   	Published			09-07-2017 18:47
14171000	04-22-2013	264   	Published			09-07-2017 18:47
14171000	04-23-2013	248   	Published			09-07-2017 18:47
14171000	04-24-2013	233   	Published			09-07-2017 18:47
14171000	04-25-2013	217   	Published			09-07-2017 18:47
14171000	04-26-2013	202   	Published			09-07-2017 18:47
14171000	04-27-2013	189   	Published			09-07-2017 18:47
14171000	04-28-2013	177   	Published			09-07-2017 18:47
14171000	04-29-2013	172   	Published			09-07-2017 18:47
14171000	04-30-2013	166   	Published			09-07-2017 18:47
14171000	05-01-2013	154   	Published			09-07-2017 18:47
14171000	05-02-2013	145   	Published			09-07-2017 18:47
