obs,sim
2.71275390428,2.789697
2.41825869964,3.283967
1.81510986706,2.878604
1.5149512931,2.208421
1.56875330164,1.767335
1.2317828271,2.197875
1.11285207138,1.873705
1.01657479294,1.478254
0.94011930712,1.199447
0.8919806679,0.980805
0.85516876732,1.055235
0.88631729858,1.219737
0.94011930712,1.392819
0.81835686674,1.576516
0.80136675878,1.732241
1.05905006284,1.682137
1.05338669352,1.649265
1.0194064776,1.600479
1.04205995488,1.378614
0.95144604576,1.251848
0.87499055994,1.345234
1.42433738398,1.376254
3.1998036658,2.551502
2.0246545319,3.203778
1.56025824766,2.481152
1.3167333669,1.833429
1.20063429584,1.528183
1.02506984692,1.599548
0.89481235256,1.31332
0.82402023606,1.048183
0.95144604576,0.992122
0.77021822752,1.313565
0.98825794634,1.137945
1.24310956574,1.906911
1.16382239526,1.972337
1.28275315098,1.841799
1.11285207138,1.698604
1.03073321624,1.312424
1.02790153158,1.369377
0.92879256848,1.43124
0.80136675878,1.46462
0.73906969626,1.200424
0.68809937238,0.935414
0.75322811956,0.968839
0.63146567918,1.128038
0.56916861666,0.975558
0.52952503142,0.766454
0.56067356268,0.730159
0.49271313084,0.6659
0.44740617628,0.551894
0.43324775298,0.47218
0.43324775298,0.616573
0.40493090638,0.555714
0.39077248308,0.466489
0.41342596036,0.382253
0.44740617628,0.411799
0.5380200854,0.720081
0.46439628424,0.862182
0.38794079842,0.720313
0.36245563648,0.575744
0.34546552852,0.465536
0.33130710522,0.37102
0.31431699726,0.292679
0.30299025862,0.248145
0.30015857396,0.256076
0.28600015066,0.246923
0.271558558894,0.209206
0.257400135594,0.181413
0.240976364566,0.155977
0.258532809458,0.13959
0.255984293264,0.219171
0.235312995246,0.207449
0.214358528762,0.179436
0.210394170238,0.153254
0.197085252336,0.128023
0.186324850628,0.110644
0.177829796648,0.099214
0.176130785852,0.089107
0.1840595029,0.081682
0.180095144376,0.074651
0.179245638978,0.069507
0.171883258862,0.064343
0.161689194086,0.064067
0.190006040686,0.060055
0.17556444892,0.114722
0.172449595794,0.110552
0.151778297776,0.097133
0.140451559136,0.082566
0.139318885272,0.072173
0.153477308572,0.068855
0.1699010796,0.061119
0.180944649774,0.072028
0.183776334434,0.099926
0.156592161698,0.098648
0.136487200612,0.085703
0.115532734128,0.071635
0.11185154407,0.060583
0.097976289236,0.04925
0.093162425314,0.043652
0.105621837818,0.038233
0.104489163954,0.034805
0.090330740654,0.036111
0.088348561392,0.032996
0.089764403722,0.030891
0.09344559378,0.028536
0.102506984692,0.033079
0.117231744924,0.031385
0.0991089631,0.029613
0.099392131566,0.031274
0.096843615372,0.030081
0.082402023606,0.028877
0.076172317354,0.027815
0.071358453432,0.026922
0.093162425314,0.028215
0.07362380116,0.027418
0.067394094908,0.026562
0.070508948034,0.025822
0.072774295762,0.025195
0.064845578714,0.024634
0.063996073316,0.024127
0.064279241782,0.023665
0.058899040928,0.023239
0.043607943764,0.022845
0.03822774291,0.022477
0.035112889784,0.022133
0.033130710522,0.021809
0.041625764502,0.021782
0.041625764502,0.021568
