timeInRun,active rule
706993,GC
706994,GC
706995,GC
706996,GC
706997,GC
706998,GC
706999,GC
707000,GC
707001,GC
707002,GC
707003,GC
707004,GC
707005,GC
707006,GC
707007,GC
707008,GC
707009,GC
707010,GC
707011,GC
707012,GC
707013,GC
707014,GC
707015,GC
707016,GC
707017,GC
707018,GC
707019,GC
707020,GC
707021,GC
707022,GC
707023,GC
707024,GC
707025,GC
707026,GC
707027,GC
707028,GC
707029,GC
707030,GC
707031,GC
707032,Daily BiOp Max Rate of Decrease
707033,Daily BiOp Max Rate of Decrease
707034,Daily BiOp Max Rate of Decrease
707035,Daily BiOp Max Rate of Decrease
707036,Daily BiOp Max Rate of Decrease
707037,Daily BiOp Max Rate of Decrease
707038,Daily BiOp Max Rate of Decrease
707039,Daily BiOp Max Rate of Decrease
707040,Daily BiOp Max Rate of Decrease
707041,Daily BiOp Max Rate of Decrease
707042,Daily BiOp Max Rate of Decrease
707043,Daily BiOp Max Rate of Decrease
707044,Daily BiOp Max Rate of Decrease
707045,Daily BiOp Max Rate of Decrease
707046,Daily BiOp Max Rate of Decrease
707047,Daily BiOp Max Rate of Decrease
707048,Daily BiOp Max Rate of Decrease
707049,Daily BiOp Max Rate of Decrease
707050,Daily BiOp Max Rate of Decrease
707051,Daily BiOp Max Rate of Decrease
707052,Daily BiOp Max Rate of Decrease
707053,Daily BiOp Max Rate of Decrease
707054,Daily BiOp Max Rate of Decrease
707055,Daily BiOp Max Rate of Decrease
707056,Daily BiOp Max Rate of Decrease
707057,Daily BiOp Max Rate of Decrease
707058,Daily BiOp Max Rate of Decrease
707059,Daily BiOp Max Rate of Decrease
707060,Daily BiOp Max Rate of Decrease
707061,Daily BiOp Max Rate of Decrease
707062,GC
707063,GC
707064,500 cfs Max
707065,GC:Max Flow (Winter and Conservation)
707066,500 cfs Max
707067,500 cfs Max
707068,500 cfs Max
707069,GC:Max Flow (Winter and Conservation)
707070,000 cfs Max
707071,000 cfs Max
707072,000 cfs Max
707073,000 cfs Max
707074,000 cfs Max
707075,000 cfs Max
707076,000 cfs Max
707077,000 cfs Max
707078,000 cfs Max
707079,000 cfs Max
707080,GC
707081,GC
707082,GC
707083,GC
707084,GC
707085,GC
707086,GC
707087,GC
707088,GC
707089,GC
707090,GC
707091,GC
707092,GC
707093,GC
707094,GC
707095,GC:Max Flow (Winter and Conservation)
707096,000 cfs Max
707097,GC
707098,GC
707099,GC
707100,GC
707101,GC
707102,GC
707103,GC
707104,GC
707105,GC
707106,GC
707107,GC:Max Flow (Winter and Conservation)
707108,000 cfs Max
707109,000 cfs Max
707110,000 cfs Max
707111,000 cfs Max
707112,000 cfs Max
707113,Daily BiOp Max Rate of Decrease
707114,Daily BiOp Max Rate of Decrease
707115,Daily BiOp Max Rate of Decrease
707116,Daily BiOp Max Rate of Decrease
707117,Daily BiOp Max Rate of Decrease
707118,Min Conserv Flow@FallCrk
707119,GC
707120,GC
707121,GC
707122,GC
707123,GC
707124,GC
707125,GC
707126,GC
707127,GC
707128,GC
707129,GC
707130,GC
707131,GC
707132,GC
707133,GC
707134,GC
707135,GC
707136,GC
707137,GC
707138,GC
707139,GC
707140,GC
707141,GC
707142,GC
707143,GC
707144,GC
707145,GC
707146,GC
707147,GC
707148,GC
707149,GC
707150,GC
707151,GC
707152,GC
707153,GC
707154,GC
707155,GC
707156,GC
707157,GC
707158,GC
707159,GC
707160,GC
707161,GC
707162,GC
707163,GC
707164,GC
707165,GC
707166,GC
707167,GC
707168,GC
707169,GC
707170,GC
707171,GC
707172,GC
707173,GC
707174,GC
707175,ZB
707176,ZB
707177,GC
707178,GC
707179,GC
707180,GC
707181,GC
707182,GC
707183,GC
707184,GC
707185,GC
707186,GC
707187,GC
707188,GC
707189,GC
707190,GC
707191,GC
707192,GC
707193,GC
707194,GC
707195,GC
707196,GC
707197,GC
707198,GC
707199,GC
707200,GC
707201,GC
707202,GC
707203,GC
707204,GC
707205,GC
707206,GC
707207,GC
707208,GC
707209,Min Conserv Flow@FallCrk
707210,Min Conserv Flow@FallCrk
707211,GC
707212,Min Flow - at Albany by Water Year Type
707213,Min Flow - at Albany by Water Year Type
707214,Min Flow - at Albany by Water Year Type
707215,Min Flow - at Albany by Water Year Type
707216,Min Flow - at Albany by Water Year Type
707217,Min Flow - at Albany by Water Year Type
707218,Min Flow - at Albany by Water Year Type
707219,Min Flow - at Albany by Water Year Type
707220,Min Flow - at Albany by Water Year Type
707221,Min Flow - at Albany by Water Year Type
707222,Min Flow - at Albany by Water Year Type
707223,Min Flow - at Albany by Water Year Type
707224,Min Flow - at Albany by Water Year Type
707225,Min Flow - at Albany by Water Year Type
707226,Min Flow - at Albany by Water Year Type
707227,Min Flow - at Albany by Water Year Type
707228,Min Flow - at Albany by Water Year Type
707229,Min Flow - at Salem
707230,Min Flow - at Salem
707231,Min Flow - at Salem
707232,Min Flow - at Salem
707233,Min Flow - at Salem
707234,Min Flow - at Salem
707235,Min Flow - at Salem
707236,Min Flow - at Salem
707237,Min Flow - at Salem
707238,Min Flow - at Salem
707239,Min Flow - at Salem
707240,Min Flow - at Salem
707241,Min Flow - at Salem
707242,Min Flow - at Salem
707243,Min Flow - at Salem
707244,Min Flow - at Salem
707245,Min Flow - at Salem
707246,Min Flow - at Salem
707247,Min Flow - at Salem
707248,Min Flow - at Albany by Water Year Type
707249,Min Flow - at Albany by Water Year Type
707250,Min Flow - at Salem
707251,Min Flow - at Salem
707252,Min Flow - at Salem
707253,Min Flow - at Salem
707254,Min Flow - at Salem
707255,Min Flow - at Salem
707256,Min Flow - at Albany by Water Year Type
707257,Min Flow - at Albany by Water Year Type
707258,Min Flow - at Albany by Water Year Type
707259,Min Flow - at Albany by Water Year Type
707260,Min Flow - at Albany by Water Year Type
707261,Min Flow - at Albany by Water Year Type
707262,Min Flow - at Albany by Water Year Type
707263,Min Flow - at Albany by Water Year Type
707264,GC
707265,000 cfs Max
707266,000 cfs Max
707267,000 cfs Max
707268,000 cfs Max
707269,000 cfs Max
707270,000 cfs Max
707271,000 cfs Max
707272,000 cfs Max
707273,000 cfs Max
707274,000 cfs Max
707275,000 cfs Max
707276,000 cfs Max
707277,000 cfs Max
707278,GC
707279,GC
707280,GC
707281,GC
707282,GC
707283,GC
707284,GC
707285,GC
707286,GC
707287,GC
707288,GC
707289,GC
707290,GC
707291,GC
707292,GC
707293,GC
707294,GC
707295,GC
707296,GC
707297,GC
707298,GC
707299,GC
707300,GC
707301,GC
707302,GC
707303,GC
707304,GC
707305,GC
707306,GC
707307,GC
707308,500 cfs Max
707309,500 cfs Max
707310,GC
707311,GC
707312,GC
707313,GC
707314,GC
707315,GC
707316,GC
707317,GC
707318,500 cfs Max
707319,500 cfs Max
707320,500 cfs Max
707321,500 cfs Max
707322,500 cfs Max
707323,500 cfs Max
707324,500 cfs Max
707325,500 cfs Max
707326,500 cfs Max
707327,500 cfs Max
707328,500 cfs Max
707329,500 cfs Max
707330,500 cfs Max
707331,500 cfs Max
707332,500 cfs Max
707333,500 cfs Max
707334,500 cfs Max
707335,500 cfs Max
707336,500 cfs Max
707337,500 cfs Max
707338,500 cfs Max
707339,500 cfs Max
707340,500 cfs Max
707341,500 cfs Max
707342,500 cfs Max
707343,500 cfs Max
707344,GC
707345,GC
707346,GC
707347,GC
707348,GC
707349,500 cfs Max
707350,500 cfs Max
707351,500 cfs Max
707352,500 cfs Max
707353,500 cfs Max
707354,500 cfs Max
707355,500 cfs Max
707356,500 cfs Max
707357,500 cfs Max
707358,500 cfs Max
707359,500 cfs Max
707360,500 cfs Max
707361,500 cfs Max
707362,500 cfs Max
707363,500 cfs Max
707364,500 cfs Max
707365,500 cfs Max
707366,500 cfs Max
707367,500 cfs Max
707368,500 cfs Max
707369,500 cfs Max
707370,500 cfs Max
707371,500 cfs Max
707372,500 cfs Max
707373,500 cfs Max
707374,500 cfs Max
707375,500 cfs Max
707376,500 cfs Max
707377,GC
707378,Daily BiOp Max Rate of Decrease
707379,GC
707380,GC
707381,GC
707382,GC
707383,GC
707384,GC
707385,GC
707386,GC
707387,500 cfs Max
707388,500 cfs Max
707389,500 cfs Max
707390,500 cfs Max
707391,500 cfs Max
707392,500 cfs Max
707393,500 cfs Max
707394,500 cfs Max
707395,500 cfs Max
707396,500 cfs Max
707397,500 cfs Max
707398,500 cfs Max
707399,500 cfs Max
707400,500 cfs Max
707401,Daily BiOp Max Rate of Decrease
707402,Daily BiOp Max Rate of Decrease
707403,Daily BiOp Max Rate of Decrease
707404,Daily BiOp Max Rate of Decrease
707405,Daily BiOp Max Rate of Decrease
707406,Daily BiOp Max Rate of Decrease
707407,Daily BiOp Max Rate of Decrease
707408,GC
707409,GC
707410,GC
707411,GC
707412,GC
707413,GC
707414,GC
707415,GC
707416,Daily BiOp Max Rate of Decrease
707417,Daily BiOp Max Rate of Decrease
707418,Daily BiOp Max Rate of Decrease
707419,Daily BiOp Max Rate of Decrease
707420,Daily BiOp Max Rate of Decrease
707421,GC
707422,GC
707423,GC
707424,GC
707425,GC
707426,GC
707427,GC
707428,GC
707429,GC
707430,GC
707431,GC
707432,Daily BiOp Max Rate of Decrease
707433,GC
707434,GC
707435,GC
707436,GC
707437,GC
707438,GC
707439,GC
707440,GC
707441,GC
707442,GC
707443,GC
707444,GC:Max Flow (Winter and Conservation)
707445,000 cfs Max
707446,000 cfs Max
707447,000 cfs Max
707448,000 cfs Max
707449,000 cfs Max
707450,000 cfs Max
707451,000 cfs Max
707452,000 cfs Max
707453,000 cfs Max
707454,000 cfs Max
707455,000 cfs Max
707456,000 cfs Max
707457,000 cfs Max
707458,Daily BiOp Max Rate of Decrease
707459,Daily BiOp Max Rate of Decrease
707460,Daily BiOp Max Rate of Decrease
707461,GC
707462,GC
707463,GC
707464,GC
707465,GC
707466,GC
707467,GC
707468,GC
707469,GC
707470,GC
707471,GC
707472,GC
707473,GC
707474,GC
707475,GC
707476,GC
707477,GC
707478,GC
707479,GC
707480,GC
707481,GC
707482,GC
707483,GC
707484,GC
707485,GC
707486,GC
707487,GC
707488,GC
707489,GC
707490,GC
707491,GC
707492,GC
707493,GC
707494,GC
707495,GC
707496,GC
707497,GC
707498,GC
707499,GC
707500,GC
707501,GC
707502,GC
707503,GC
707504,GC
707505,GC
707506,GC
707507,GC
707508,GC
707509,GC
707510,GC
707511,GC
707512,GC
707513,GC
707514,GC
707515,Min Flow - at Salem
707516,GC
707517,Min Flow - at Salem
707518,Min Flow - at Salem
707519,Daily BiOp Max Rate of Decrease
707520,Min Flow - at Salem
707521,Min Flow - at Salem
707522,Min Flow - at Salem
707523,Min Flow - at Salem
707524,Min Flow - at Salem
707525,Min Flow - at Salem
707526,Min Flow - at Salem
707527,Min Flow - at Salem
707528,Min Flow - at Salem
707529,Min Flow - at Salem
707530,Min Flow - at Salem
707531,Min Flow - at Salem
707532,Min Flow - at Salem
707533,Daily BiOp Max Rate of Decrease
707534,Daily BiOp Max Rate of Decrease
707535,Daily BiOp Max Rate of Decrease
707536,Min Conserv Flow@FallCrk
707537,Min Conserv Flow@FallCrk
707538,Min Conserv Flow@FallCrk
707539,Min Conserv Flow@FallCrk
707540,Min Conserv Flow@FallCrk
707541,Min Conserv Flow@FallCrk
707542,Min Conserv Flow@FallCrk
707543,Min Conserv Flow@FallCrk
707544,Min Conserv Flow@FallCrk
707545,Min Conserv Flow@FallCrk
707546,Min Conserv Flow@FallCrk
707547,Min Conserv Flow@FallCrk
707548,Min Conserv Flow@FallCrk
707549,Min Conserv Flow@FallCrk
707550,Min Conserv Flow@FallCrk
707551,Min Conserv Flow@FallCrk
707552,Min Conserv Flow@FallCrk
707553,Min Conserv Flow@FallCrk
707554,Min Conserv Flow@FallCrk
707555,Min Conserv Flow@FallCrk
707556,Min Conserv Flow@FallCrk
707557,Min Conserv Flow@FallCrk
707558,Min Conserv Flow@FallCrk
707559,Min Conserv Flow@FallCrk
707560,Min Conserv Flow@FallCrk
707561,Min Conserv Flow@FallCrk
707562,Min Conserv Flow@FallCrk
707563,Min Conserv Flow@FallCrk
707564,Min Conserv Flow@FallCrk
707565,Min Conserv Flow@FallCrk
707566,Min Conserv Flow@FallCrk
707567,Min Conserv Flow@FallCrk
707568,Min Conserv Flow@FallCrk
707569,Min Conserv Flow@FallCrk
707570,Min Flow - at Salem
707571,Min Flow - at Salem
707572,Min Conserv Flow@FallCrk
707573,Min Flow - at Salem
707574,Min Flow - at Salem
707575,Min Flow - at Salem
707576,Min Flow - at Salem
707577,Min Flow - at Salem
707578,Min Flow - at Salem
707579,Min Flow - at Salem
707580,Min Flow - at Salem
707581,Min Flow - at Salem
707582,Min Flow - at Salem
707583,Min Flow - at Salem
707584,Min Flow - at Salem
707585,Min Flow - at Salem
707586,Min Flow - at Salem
707587,Min Flow - at Salem
707588,Min Flow - at Salem
707589,Min Flow - at Salem
707590,Min Flow - at Salem
707591,Min Flow - at Salem
707592,Min Flow - at Salem
707593,Min Flow - at Salem
707594,Min Flow - at Salem
707595,Min Flow - at Salem
707596,Min Flow - at Salem
707597,Min Flow - at Salem
707598,Min Flow - at Salem
707599,Min Flow - at Salem
707600,Min Flow - at Salem
707601,Min Flow - at Salem
707602,Min Flow - at Salem
707603,Min Flow - at Salem
707604,Min Flow - at Salem
707605,Min Flow - at Salem
707606,Min Flow - at Salem
707607,Min Flow - at Salem
707608,Min Flow - at Salem
707609,Min Flow - at Salem
707610,Min Flow - at Salem
707611,Min Flow - at Salem
707612,Min Flow - at Albany by Water Year Type
707613,Min Flow - at Salem
707614,Min Flow - at Salem
707615,Min Flow - at Albany by Water Year Type
707616,Min Flow - at Albany by Water Year Type
707617,Min Conserv Flow@FallCrk
707618,Min Conserv Flow@FallCrk
707619,Min Flow - at Salem
707620,Min Flow - at Salem
707621,Min Flow - at Salem
707622,Min Flow - at Salem
707623,Min Flow - at Salem
707624,Min Flow - at Salem
707625,Min Flow - at Albany by Water Year Type
707626,Min Flow - at Salem
707627,Min Flow - at Albany by Water Year Type
707628,Min Flow - at Albany by Water Year Type
707629,Min Flow - at Albany by Water Year Type
707630,Min Flow - at Albany by Water Year Type
707631,Min Flow - at Salem
707632,Min Conserv Flow@FallCrk
707633,Min Conserv Flow@FallCrk
707634,Min Flow - at Albany by Water Year Type
707635,Min Flow - at Albany by Water Year Type
707636,Min Flow - at Albany by Water Year Type
707637,Min Flow - at Albany by Water Year Type
707638,Min Flow - at Albany by Water Year Type
707639,Min Flow - at Albany by Water Year Type
707640,Min Flow - at Salem
707641,Min Flow - at Salem
707642,Min Flow - at Albany by Water Year Type
707643,Min Conserv Flow@FallCrk
707644,Min Conserv Flow@FallCrk
707645,Min Conserv Flow@FallCrk
707646,GC
707647,GC
707648,Min Conserv Flow@FallCrk
707649,GC
707650,GC
707651,GC
707652,GC
707653,GC
707654,GC
707655,GC
707656,GC
707657,GC
707658,GC
707659,GC
707660,GC
707661,GC
707662,GC
707663,GC
707664,GC
707665,GC
707666,GC
707667,GC
707668,GC
707669,GC
707670,GC
707671,GC
707672,GC
707673,500 cfs Max
707674,500 cfs Max
707675,500 cfs Max
707676,500 cfs Max
707677,500 cfs Max
707678,500 cfs Max
707679,500 cfs Max
707680,500 cfs Max
707681,500 cfs Max
707682,500 cfs Max
707683,500 cfs Max
707684,500 cfs Max
707685,500 cfs Max
707686,500 cfs Max
707687,500 cfs Max
707688,500 cfs Max
707689,500 cfs Max
707690,500 cfs Max
707691,500 cfs Max
707692,500 cfs Max
707693,500 cfs Max
707694,500 cfs Max
707695,500 cfs Max
707696,500 cfs Max
707697,GC
707698,GC
707699,GC
707700,GC
707701,GC
707702,GC
707703,GC
707704,GC
707705,500 cfs Max
707706,500 cfs Max
707707,500 cfs Max
707708,500 cfs Max
707709,500 cfs Max
707710,500 cfs Max
707711,500 cfs Max
707712,500 cfs Max
707713,500 cfs Max
707714,500 cfs Max
707715,GC
707716,Daily BiOp Max Rate of Decrease
707717,Daily BiOp Max Rate of Decrease
707718,GC
707719,GC
707720,GC
707721,GC
707722,GC
707723,GC
707724,GC
707725,GC
707726,GC
707727,GC
707728,GC
707729,GC
707730,GC
707731,500 cfs Max
707732,500 cfs Max
707733,500 cfs Max
707734,500 cfs Max
707735,500 cfs Max
707736,500 cfs Max
707737,500 cfs Max
707738,500 cfs Max
707739,500 cfs Max
707740,500 cfs Max
707741,500 cfs Max
707742,500 cfs Max
707743,500 cfs Max
707744,GC
707745,GC
707746,GC
707747,GC
707748,GC
707749,GC
707750,GC
707751,GC
707752,GC
707753,GC
707754,GC
707755,GC
707756,GC
707757,GC
707758,GC
707759,GC
707760,GC
707761,GC
