timeInRun,elev_m,inflow_cms,outlfow_cms
706853,253.17,1.21,4.52
706854,253.13,1.17,4.65
706855,253.08,1.17,4.76
706856,253.04,1.1,4.76
706857,253,1.07,4.7
706858,252.95,1,4.75
706859,252.91,0.96,4.89
706860,252.86,0.89,4.99
706861,252.81,0.89,4.86
706862,252.76,0.86,4.71
706863,252.72,0.86,4.63
706864,252.67,0.82,4.63
706865,252.63,0.82,4.67
706866,252.58,0.83,4.74
706867,252.53,0.8,4.85
706868,252.47,0.8,4.96
706869,252.42,0.74,5.05
706870,252.36,0.71,5.1
706871,252.31,0.71,5.14
706872,252.25,0.68,5.13
706873,252.2,0.7,5.12
706874,252.14,0.7,5.15
706875,252.08,0.67,5.16
706876,252.03,0.67,5.11
706877,251.97,0.67,5.07
706878,251.91,0.63,5.16
706879,251.84,0.64,5.66
706880,251.77,0.66,5.66
706881,251.71,0.66,5.66
706882,251.64,0.66,5.66
706883,251.58,1.13,5.66
706884,251.54,2.21,5.47
706885,251.49,1.45,4.62
706886,251.45,1.2,4.78
706887,251.38,1.07,5.63
706888,251.32,0.96,5.48
706889,251.26,0.9,5.65
706890,251.2,0.87,5.63
706891,251.13,0.84,5.66
706892,251.07,0.77,5.66
706893,251.01,0.73,5.05
706894,250.95,0.91,5.66
706895,250.88,1.26,6.22
706896,250.66,2.75,18.49
706897,250.44,1.66,17.25
706898,250.21,1.24,16.73
706899,249.99,1.1,15.66
706900,249.77,0.93,15.49
706901,249.55,0.89,15.46
706902,249.33,0.9,15.46
706903,249.08,0.87,17.11
706904,248.83,0.8,17.04
706905,248.58,0.77,16.38
706906,248.34,0.77,15.85
706907,248.09,0.75,15.83
706908,247.84,0.71,15.79
706909,247.59,0.71,14.81
706910,247.35,0.71,14.63
706911,247.06,0.69,16.6
706912,246.78,0.69,16.6
706913,246.5,0.77,16.67
706914,246.21,0.76,16.36
706915,245.93,0.76,15.34
706916,245.65,0.8,15.38
706917,245.36,0.8,15.38
706918,245.04,0.8,17.22
706919,244.72,0.76,15.89
706920,244.4,0.76,17.04
706921,244.08,0.73,15.72
706922,243.76,0.73,15.72
706923,243.44,0.69,15.68
706924,243.12,0.69,15.18
706925,242.8,0.69,14.18
706926,242.41,0.76,17.46
706927,242.01,0.73,17.43
706928,241.61,0.73,17
706929,241.22,0.73,15.57
706930,240.82,0.69,15.54
706931,240.43,0.69,15.54
706932,240.03,0.69,14.83
706933,239.63,0.66,13.65
706934,239.11,0.66,18.47
706935,238.59,0.69,17.11
706936,238.07,0.66,16.43
706937,237.55,0.62,16.72
706938,237.02,0.66,15.33
706939,236.5,0.69,15.32
706940,235.98,0.66,14.34
706941,235.46,0.66,14.12
706942,235.37,0.62,2.83
706943,235.28,0.62,2.83
706944,235.2,0.73,2.83
706945,235.12,0.76,2.83
706946,235.03,0.8,2.83
706947,235,1.14,1.97
706948,235,1.21,1.21
706949,235,0.97,0.97
706950,235,0.9,0.9
706951,235,0.87,0.87
706952,235,0.83,0.83
706953,235,0.83,0.83
706954,235,0.8,0.8
706955,235,0.8,0.8
706956,235,0.76,0.76
706957,235,0.76,0.76
706958,235,0.76,0.76
706959,235,0.76,0.76
706960,235,0.8,0.8
706961,235,0.8,0.8
706962,235,0.8,0.8
706963,235,0.76,0.76
706964,235,0.76,0.76
706965,235,0.76,0.76
706966,235,0.73,0.73
706967,235,0.73,0.73
706968,235,0.73,0.73
706969,235,0.73,0.73
706970,235,0.66,0.66
706971,235,0.69,0.69
706972,235,0.73,0.73
706973,235,0.73,0.73
706974,235,0.74,0.74
706975,235,0.74,0.74
706976,235,0.74,0.74
706977,235,0.74,0.74
706978,235,1.63,1.63
706979,235.03,5.4,4.64
706980,235.03,9.62,9.62
706981,235.03,9.62,9.62
706982,235.03,12.46,12.46
706983,235,4.92,5.68
706984,235.01,3.19,2.84
706985,235,2.5,2.83
706986,235,2.05,2.06
706987,235,1.74,1.74
706988,235,1.6,1.6
706989,235,1.63,1.63
706990,235,2.18,2.18
706991,235.03,5.68,4.92
706992,235.03,2.84,2.84
706993,235.02,2.5,2.83
706994,235.02,2.84,2.83
706995,235.03,10.07,9.74
706996,235.03,38.18,38.18
706997,235.03,27.98,27.98
706998,235,11.97,12.73
706999,235.03,8.79,8.03
707000,235.03,12.46,12.46
707001,235.03,7.27,7.27
707002,235.03,6.27,6.27
707003,235.03,4.68,4.68
707004,235.03,4.23,4.23
707005,235.03,3.97,3.97
707006,235.03,3.17,3.17
707007,235.03,2.83,2.83
707008,235.03,3.39,3.38
707009,235.03,3.77,3.77
707010,235.02,2.66,2.83
707011,235,2.35,2.83
707012,235,2.49,2.6
707013,235.01,3.01,2.83
707014,235,2.35,2.54
707015,235,2.08,2.08
707016,235,1.95,1.95
707017,235,2.23,2.23
707018,235,2.68,2.68
707019,235.03,7.28,6.52
707020,235.03,6.58,6.58
707021,235.03,4.68,4.68
707022,235.03,7.28,7.28
707023,235.03,5.99,5.99
707024,235.03,4.26,4.26
707025,235.03,4.26,4.26
707026,235.03,3.6,3.6
707027,235.03,3.43,3.43
707028,235.03,3.81,3.81
707029,235.03,3.81,3.81
707030,235.03,4.96,4.96
707031,235.03,5.74,5.74
707032,235.14,5.46,2.87
707033,235.21,4.74,2.83
707034,235.23,3.25,2.83
707035,235.3,4.49,2.83
707036,235.74,16.74,5.38
707037,236.07,14.78,6.09
707038,236.25,16.06,11.49
707039,236.42,36.46,31.93
707040,236.59,33.01,28.33
707041,236.74,18.82,14.68
707042,236.92,12.46,7.34
707043,237.08,9.63,5.38
707044,237.17,8.02,5.38
707045,237.26,8.02,5.38
707046,237.47,13.59,7.73
707047,238.49,53.77,23
707048,238.78,38.21,28.78
707049,239.03,34.75,26.79
707050,239.29,26.46,19.2
707051,239.54,31.31,21.84
707052,239.79,36.5,28.05
707053,240.04,58.97,50.69
707054,240.1,33.04,31.23
707055,240.3,23.36,16.26
707056,240.66,21.8,8.13
707057,240.99,31.31,18.96
707058,241.21,33.04,24.72
707059,241.44,44.45,36.13
707060,241.66,42.37,34.05
707061,241.88,34.77,25.64
707062,242.1,33.05,23.69
707063,242.3,33.06,24.61
707064,242.5,67.23,58.78
707065,243.33,120.47,85.32
707066,242.9,69.99,88.26
707067,243.1,82.44,74
707068,243.3,96.27,87.48
707069,243.5,89.35,79.97
707070,243.68,67.23,58.84
707071,243.86,73.11,64.72
707072,244.45,120.48,92.93
707073,244.38,92.82,96.21
707074,244.4,76.23,75.23
707075,244.58,79.34,70.35
707076,244.76,79.34,70.13
707077,244.94,79.34,70.95
707078,245.1,61.71,53.65
707079,245.27,51.35,42.71
707080,245.44,44.43,35.8
707081,245.61,42.36,33.72
707082,245.78,33.05,24.41
707083,245.94,29.62,20.99
707084,246.11,28.08,19.44
707085,246.28,26.52,17.88
707086,246.43,24.95,16.38
707087,246.58,24.95,16.38
707088,246.74,23.37,14.8
707089,246.89,21.8,13.23
707090,247.04,23.35,14.79
707091,247.19,23.35,14.79
707092,247.35,23.35,14.79
707093,247.5,26.47,17.9
707094,247.64,33.04,24.96
707095,247.78,82.34,74.27
707096,247.93,64.37,55.7
707097,248.07,46.39,37.64
707098,248.22,53.65,44.9
707099,248.36,53.65,44.9
707100,248.5,46.39,37.64
707101,248.64,40.17,32.05
707102,248.77,38.09,29.72
707103,248.9,38.09,29.35
707104,249.04,44.31,35.57
707105,249.17,53.65,44.91
707106,249.3,44.32,35.57
707107,251.87,301.21,120.56
707108,254.37,376.93,169.9
707109,255.37,293.95,204.31
707110,254.75,139.05,194.85
707111,254.02,79.24,143.35
707112,253.03,56.07,139.62
707113,251.92,46.39,135.62
707114,250.67,38.1,131.14
707115,250.45,46.39,61.53
707116,250.57,38.1,29.8
707117,250.69,31.18,22.88
707118,250.81,29.45,21.16
707119,250.93,31.18,22.53
707120,251.04,31.18,22.33
707121,251.16,27.9,19.05
707122,251.28,24.78,15.93
707123,251.4,24.78,15.93
707124,251.51,21.67,13.19
707125,251.63,26.15,17.67
707126,251.74,39.98,31.5
707127,251.85,48.63,40.14
707128,251.97,42.06,33.57
707129,252.08,32.72,24.2
707130,252.19,27.71,18.69
707131,252.3,30.99,22.5
707132,252.4,27.71,19.21
707133,252.51,27.71,19.21
707134,252.62,32.72,24.23
707135,252.72,44.13,35.42
707136,252.83,42.06,33.06
707137,252.94,44.13,35.14
707138,253.04,39.98,30.99
707139,253.15,34.45,25.2
707140,253.26,32.72,23.47
707141,253.37,27.71,18.46
707142,253.48,32.72,23.47
707143,253.59,30.99,21.74
707144,253.59,26.15,26.15
707145,253.59,24.6,24.6
707146,253.59,24.6,24.6
707147,253.59,21.48,21.48
707148,253.59,23.04,23.04
707149,253.59,23.04,23.04
707150,253.59,18.54,18.54
707151,253.59,17.16,17.16
707152,253.59,17.16,17.16
707153,253.59,13.91,13.91
707154,253.59,11.18,11.18
707155,253.59,10.73,10.73
707156,253.59,12,12
707157,253.59,14.32,14.32
707158,253.59,14.97,14.97
707159,253.59,13.11,13.11
707160,253.59,11,11
707161,253.59,10.55,10.55
707162,253.59,9.61,9.61
707163,253.59,8.75,8.75
707164,253.59,16.29,16.29
707165,253.59,21.3,21.3
707166,253.59,30.81,30.81
707167,253.59,24.41,24.41
707168,253.59,18.36,18.36
707169,253.59,15.6,15.6
707170,253.59,14.97,14.97
707171,253.59,22.86,22.86
707172,253.59,34.27,34.27
707173,253.59,30.81,30.81
707174,253.59,36,36
707175,253.59,78.87,78.87
707176,253.59,72.64,72.64
707177,253.59,46.02,46.02
707178,253.59,36,36
707179,253.59,27.52,27.52
707180,253.59,22.86,22.86
707181,253.59,16.98,16.98
707182,253.59,14.32,14.32
707183,253.59,13.11,13.11
707184,253.59,11,11
707185,253.59,9.61,9.61
707186,253.59,8.12,8.12
707187,253.59,7.32,7.32
707188,253.59,6.59,6.59
707189,253.59,6.25,6.25
707190,253.59,6.25,6.25
707191,253.59,5.28,5.28
707192,253.59,5,5
707193,253.59,4.73,4.73
707194,253.59,4.24,4.24
707195,253.59,4,4
707196,253.59,3.76,3.76
707197,253.59,3.76,3.76
707198,253.59,3.55,3.55
707199,253.59,3.31,3.31
707200,253.59,3.1,3.1
707201,253.59,3.1,3.1
707202,253.59,2.89,2.89
707203,253.59,2.69,2.83
707204,253.59,2.69,2.83
707205,253.59,2.48,2.83
707206,253.58,2.48,2.83
707207,253.58,2.27,2.83
707208,253.57,2.06,2.83
707209,253.56,2.07,2.83
707210,253.54,2.07,3.1
707211,253.59,7.33,3.22
707212,253.59,3.32,3.32
707213,253.59,2.5,2.83
707214,253.58,2.09,2.83
707215,253.57,2.09,3.32
707216,253.55,1.92,3.38
707217,253.53,1.8,3.59
707218,253.51,1.8,3.58
707219,253.48,1.63,3.82
707220,253.45,1.46,3.78
707221,253.43,1.46,3.66
707222,253.4,1.39,3.71
707223,253.37,1.33,3.86
707224,253.34,1.33,3.86
707225,253.31,1.3,3.82
707226,253.28,1.27,3.73
707227,253.25,1.24,3.74
707228,253.22,1.1,3.93
707229,253.18,1.07,4.07
707230,253.14,1,4.18
707231,253.1,0.96,4.33
707232,253.06,0.89,4.55
707233,253.02,0.89,4.51
707234,252.98,0.86,4.41
707235,252.93,0.76,4.34
707236,252.89,0.78,4.26
707237,252.85,0.71,4.5
707238,252.8,0.72,4.53
707239,252.78,2.08,4.19
707240,252.75,1.87,3.76
707241,252.72,1.18,4.14
707242,252.68,1.01,4.57
707243,252.63,0.94,4.62
707244,252.58,0.84,4.48
707245,252.53,0.82,5.04
707246,252.48,0.76,5.08
707247,252.43,1.9,5.36
707248,252.39,1.88,5.65
707249,252.33,1.41,5.66
707250,252.28,1.31,5.59
707251,252.22,1.1,5.62
707252,252.17,1.31,5.64
707253,252.11,1.2,5.64
707254,252.05,1.03,5.6
707255,251.99,1.01,5.66
707256,251.89,1.01,8.67
707257,251.69,0.94,16.07
707258,251.49,0.91,16.04
707259,251.28,0.87,16
707260,251.08,0.87,16.01
707261,250.88,0.78,15.91
707262,250.66,0.74,16.49
707263,250.44,0.71,16.31
707264,250.21,0.68,16.16
707265,249.99,0.69,15.25
