timeInRun,elev_m,inflow_cms,outlfow_cms
707032,281.03,16.57,16.85
707033,281.03,13.48,13.19
707034,281.03,12.09,12.09
707035,281.03,12.65,12.94
707036,281.24,29.33,9.27
707037,281.46,33.58,12.73
707038,281.73,37.82,10.93
707039,282.45,71.84,0
707040,283.06,63.35,0.11
707041,283.43,43.56,5.86
707042,283.66,33.65,10.21
707043,283.82,29.4,12.49
707044,283.93,25.16,14.18
707045,284.01,23.74,14.77
707046,284.25,35.07,10.33
707047,285.24,105.86,0
707048,285.9,71.88,0
707049,286.45,60.57,0
707050,286.91,52.1,0
707051,287.48,63.42,0
707052,288.15,77.58,0
707053,288.86,83.24,0
707054,289.33,54.93,0
707055,289.69,43.32,0
707056,290.07,45.58,0
707057,290.54,57.19,0
707058,291,57.19,0
707059,291.47,60.04,0
707060,291.97,62.33,0
707061,292.42,57.23,0
707062,292.83,52.42,0
707063,293.21,50.15,0
707064,293.8,77.4,0
707065,295.03,164.9,0
707066,295.97,128.09,0
707067,296.71,107.7,2.61
707068,296.9,122.72,96.41
707069,297.09,119.91,93.6
707070,297.27,102.92,77.75
707071,297.45,100.09,74.92
707072,297.63,114.24,89.08
707073,297.8,111.41,86.18
707074,297.98,102.92,76.92
707075,298.16,108.58,82.58
707076,298.34,117.08,91.08
707077,298.52,111.43,86
707078,298.7,100.12,74.95
707079,298.88,91.62,65.64
707080,299.06,85.96,59.72
707081,299.24,74.63,47.79
707082,299.42,66.16,39.8
707083,299.6,60.5,34.5
707084,299.77,52.07,26.07
707085,299.95,48.1,21.95
707086,300.13,44.65,18.38
707087,300.3,41.81,16.79
707088,300.44,40.37,18.52
707089,300.58,40.65,19.33
707090,300.73,40.65,19.31
707091,300.87,40.37,19.31
707092,301.01,40.37,19.25
707093,301.23,49.15,15.56
707094,301.53,85.99,41.58
707095,301.7,147.88,121.63
707096,301.87,113.9,88.18
707097,302.04,94.07,68.62
707098,302.2,88.43,62.29
707099,302.37,94.11,67.86
707100,302.54,85.62,59.37
707101,302.71,77.14,51.81
707102,302.87,71.49,46.17
707103,303.04,85.65,60.33
707104,303.2,113.97,88.65
707105,303.36,111.14,85.4
707106,303.53,99.81,73.72
707107,304.46,312.21,164.96
707108,305.64,397.18,208.17
707109,305.91,283.91,239.24
707110,305.66,198.96,240.73
707111,305.14,142.32,226.84
707112,304.52,108.34,206.33
707113,303.89,87.67,188.45
707114,303.65,81.44,118.1
707115,303.76,90.79,73.58
707116,304.08,78.61,28.03
707117,304.51,70.12,2.39
707118,304.85,61.9,6.73
707119,305.24,65.87,4.53
707120,305.64,68.7,3.63
707121,305.97,64.45,10.02
707122,306.13,57.94,31.71
707123,306.29,51.71,25.48
707124,306.45,49.44,23.75
707125,306.61,55.08,29.38
707126,306.76,80.85,55.15
707127,306.92,111.15,85.45
707128,307.08,107.47,81.1
707129,307.23,83.96,57.53
707130,307.39,72.35,46.64
707131,307.54,75.19,50.2
707132,307.7,78.02,52.32
707133,307.85,80.85,55.15
707134,307.85,103.79,103.79
707135,307.85,199.21,199.21
707136,307.85,140.6,140.58
707137,307.85,140.6,140.6
707138,307.85,123.04,123.04
707139,307.85,103.79,103.79
707140,307.85,90.19,90.19
707141,307.85,80.85,80.85
707142,307.85,80.85,80.85
707143,307.85,75.19,75.19
707144,307.85,65.27,65.27
707145,307.85,63.86,63.86
707146,307.85,68.11,68.11
707147,307.85,62.44,62.44
707148,307.85,63.86,63.86
707149,307.85,65.27,65.27
707150,307.85,56.21,56.21
707151,307.85,55.08,55.08
707152,307.85,55.08,55.08
707153,307.85,49.98,49.98
707154,307.85,42.05,42.05
707155,307.85,42.05,42.05
707156,307.85,48.31,48.31
707157,307.85,59.63,59.63
707158,307.85,60.77,60.77
707159,307.85,51.7,51.7
707160,307.85,47.17,47.17
707161,307.85,43.78,43.78
707162,307.85,41.51,41.51
707163,307.85,38.11,38.11
707164,307.85,37.26,37.26
707165,307.85,35.28,35.28
707166,307.85,34.15,34.15
707167,307.85,30.18,30.18
707168,307.85,29.33,29.33
707169,307.85,29.34,29.34
707170,307.85,32.45,32.45
707171,307.85,39.25,39.25
707172,307.85,53.12,53.12
707173,307.85,85.69,85.69
707174,307.85,114.29,114.29
707175,308.42,247.66,149.22
707176,308.08,188.48,247.67
707177,307.96,110.61,131.67
707178,307.85,86.55,104.72
707179,307.85,69,69.01
707180,307.85,55.69,55.69
707181,307.85,47.19,47.19
707182,307.85,41.53,41.53
707183,307.85,36.43,36.43
707184,307.85,33.32,33.32
707185,307.85,29.35,29.35
707186,307.85,26.18,26.18
707187,307.85,23.01,23.01
707188,307.85,21.43,21.43
707189,307.85,19.98,19.98
707190,307.85,18.57,18.57
707191,307.85,16.61,16.61
707192,307.85,15.99,15.99
707193,307.85,14.8,14.8
707194,307.84,14,14.54
707195,307.83,13.27,15.13
707196,307.82,12.53,15.63
707197,307.79,12.05,15.9
707198,307.76,11.48,16.28
707199,307.73,11.05,16.68
707200,307.69,10.5,16.95
707201,307.65,10.17,17.22
707202,307.6,9.72,17.52
707203,307.55,9.38,17.72
707204,307.5,9.07,17.93
707205,307.44,8.65,18.09
707206,307.38,8.25,18.37
707207,307.32,7.94,18.53
707208,307.25,7.71,18.63
707209,307.18,7.4,18.87
707210,307.11,7.23,18.93
707211,307.05,7.85,18.84
707212,306.98,7.23,19.14
707213,306.9,6.64,19.41
707214,306.82,6.3,19.58
707215,306.74,6.09,19.68
707216,306.65,5.98,19.71
707217,306.57,6.04,19.75
707218,306.48,5.85,19.92
707219,306.4,5.56,19.98
707220,306.31,5.45,20.12
707221,306.21,5.25,20.22
707222,306.12,5.14,20.25
707223,306.03,5.03,20.35
707224,305.93,4.88,20.39
707225,305.84,4.77,20.42
707226,305.74,4.79,20.42
707227,305.65,4.73,20.42
707228,305.55,4.62,20.56
707229,305.45,4.39,20.63
707230,305.35,4.17,20.73
707231,305.24,4,20.83
707232,305.14,3.98,20.86
707233,305.03,3.88,20.93
707234,304.92,3.76,21
707235,304.81,3.62,21.03
707236,304.7,3.57,21.03
707237,304.59,3.48,21.06
707238,304.49,3.89,20.87
707239,304.42,7.24,18.28
707240,304.33,6.11,19.72
707241,304.23,4.38,20.47
707242,304.12,3.9,20.66
707243,304.02,3.64,20.86
707244,303.91,3.44,21
707245,303.79,3.36,21.03
707246,303.68,3.86,20.87
707247,303.6,7.94,20.12
707248,303.39,6.1,39.37
707249,303.17,4.85,39.71
707250,302.94,4.31,40.04
707251,302.71,4.11,40.11
707252,302.48,4.25,40.04
707253,302.25,4.25,40.04
707254,302.01,3.91,40.18
707255,301.77,3.77,40.31
707256,301.53,3.69,40.31
707257,301.29,3.61,40.42
707258,301.04,3.49,40.45
707259,300.79,3.47,40.45
707260,300.54,3.39,40.55
707261,300.29,3.27,40.62
707262,300.04,3.19,40.72
707263,299.79,3.05,40.75
707264,299.53,3.05,40.72
707265,299.27,3.11,40.66
707266,299.04,4.69,39.74
707267,298.81,5.69,38.63
707268,298.56,4.19,39.69
707269,298.31,3.65,40.12
707270,298.05,3.39,40.32
707271,297.8,3.22,40.38
707272,297.53,3.14,40.42
707273,297.26,3.02,40.49
707274,297,3.02,40.62
707275,296.73,2.91,40.72
707276,296.46,2.91,40.75
707277,296.19,3.33,40.41
707278,296.06,15.22,33.81
707279,295.8,8.85,45.15
707280,295.4,6.53,61.92
707281,294.88,6.58,77.76
707282,294.36,6.15,74.85
707283,293.84,5.28,74.9
707284,293.26,4.86,80.43
707285,292.66,4.51,83.1
707286,292.03,4.28,84.5
707287,291.39,4.13,84.95
707288,290.74,3.9,84.95
707289,290.08,3.85,84.95
707290,289.41,3.76,84.95
707291,288.72,4.09,84.79
707292,288.09,4.63,79.26
707293,288.01,27.22,36.52
707294,289.13,131.88,0.1
707295,289.59,60.52,4.88
707296,289.75,30.22,11.7
707297,289.7,20.73,27.31
707298,289.43,15.66,47.46
707299,289.16,13.48,45.99
707300,288.88,11.81,44.45
707301,288.6,11.02,44.22
707302,288.27,10.28,48.62
707303,287.87,9.46,56.33
707304,287.42,8.7,60.37
707305,287.03,9.09,52.19
707306,286.9,16.82,31.86
707307,286.95,22.15,16.52
707308,287.05,26.82,15.88
707309,287.04,19.49,20.49
707310,286.98,15.95,22.58
707311,286.89,14.02,23.71
707312,286.79,12.78,24.47
707313,286.68,12.5,24.46
707314,286.57,11.86,24.78
707315,286.49,14.68,23.5
707316,287.22,81.91,0
707317,288.05,94.65,0
707318,288.97,108.81,0
707319,290.05,128.63,0
707320,290.72,105.98,23.85
707321,290.44,91.82,126.37
707322,290.17,108.81,142.22
707323,289.99,94.65,116.39
707324,289.81,74.83,96.33
707325,289.63,63.5,84.41
707326,289.46,60.65,82.05
707327,289.79,171.06,131.67
707328,290.17,227.69,181.27
707329,289.56,159.72,233.34
707330,289.51,125.75,131.67
707331,289.84,171.06,131.67
707332,289.17,159.68,239.43
707333,289.64,188,131.67
707334,289.49,199.32,217.11
707335,289.47,128.53,131.67
707336,289.16,94.55,131.67
707337,288.7,77.56,131.67
707338,288.11,63.4,131.67
707339,287.42,52.16,131.67
707340,286.84,43.67,109.13
707341,286.64,38.01,60.03
707342,286.45,33.81,55.84
707343,286.25,31.37,53.4
707344,286.05,29.7,51.02
707345,285.85,27.97,49.96
707346,285.65,26.28,48.97
707347,285.45,25.43,47.43
707348,285.25,63.6,85.35
707349,285.61,171.2,131.67
707350,285.59,128.67,131.67
707351,285.16,86.2,131.67
707352,284.66,77.65,131.67
707353,284.23,74.82,120.01
707354,284.02,84.9,107.23
707355,284.11,141.54,131.67
707356,284.04,123.98,131.67
707357,283.62,88.02,131.67
707358,283.18,69.05,113.93
707359,282.97,57.15,78.75
707360,282.76,49.79,71.38
707361,282.55,44.13,66.45
707362,282.33,41.86,63.19
707363,282.11,36.76,58.71
707364,281.9,56.59,78.72
707365,282.78,221.5,131.67
707366,283.01,146.3,122.53
707367,284.44,217.41,68.67
707368,287.51,338.33,1.42
707369,288.85,160.5,4.87
707370,288.62,104.83,131.67
707371,288.17,79.05,131.67
707372,287.58,63.48,131.67
707373,286.88,53.26,131.67
707374,286.13,47.57,131.67
707375,285.35,45.28,131.67
707376,284.49,40.72,131.67
707377,283.6,37.89,131.67
707378,282.66,35.63,131.67
707379,281.7,34.82,131.67
707380,281.03,32.84,97.41
707381,281.03,40.77,41.06
707382,281.03,44.21,43.92
707383,281.03,113.31,113.31
707384,281.04,132.57,131.73
707385,281.03,88.11,88.95
707386,281.03,79.07,79.07
707387,281.03,94.39,94.39
707388,281.03,81.93,81.93
707389,281.03,67.77,67.77
707390,282.66,292.92,131.73
707391,286.91,488.33,34.33
707392,287.52,200.34,131.67
707393,287.45,124.17,131.67
707394,287.09,91.32,131.67
707395,286.57,73.48,131.67
707396,286,67.82,131.67
707397,285.39,65.04,131.67
707398,284.83,70.7,131.67
707399,284.25,70.7,131.67
707400,283.58,62.52,131.67
707401,282.87,58.25,131.67
707402,282.83,59.67,63.97
707403,283.17,53.15,18.54
707404,283.67,51.49,0
707405,284.1,45.26,0
707406,284.72,64.8,0
707407,285.26,58.29,0
707408,285.73,50.93,0
707409,286.14,45.26,0
707410,286.56,47.53,0
707411,286.99,47.53,0
707412,287.4,46.39,0
707413,287.82,47.53,0
707414,288.21,45.28,0
707415,288.56,41.9,0
707416,288.89,37.94,0
707417,289.18,33.97,0
707418,289.45,32.84,0
707419,289.76,36.8,0
707420,290.12,43.03,0
707421,290.73,76.2,0
707422,291.33,73.41,0
707423,292.05,91.25,0
707424,292.81,97.72,0
707425,293.46,84.98,0
707426,294.08,81.87,0
707427,294.7,81.87,0
707428,295.28,79.03,0
707429,295.81,73.15,0
707430,296.31,70.32,0
707431,296.53,63.24,33.42
707432,296.71,64.66,38.35
707433,296.9,91.01,64.7
707434,297.09,76.02,49.71
707435,297.27,62.14,36.98
707436,297.45,54.5,29.33
707437,297.63,50.81,25.65
707438,297.8,47.42,22.18
707439,297.98,45.15,19.15
707440,298.16,49.68,23.68
707441,298.34,81.68,55.68
707442,298.52,78.87,53.44
707443,298.7,108.33,83.17
707444,298.91,174.59,144.21
707445,299,108.33,95.86
707446,300.69,251.89,1.42
707447,301.92,210.55,24.11
707448,301.81,115.97,132.1
707449,301.17,81.74,179.54
707450,300.86,73.25,119.58
707451,300.74,97.6,115.1
707452,300.68,101,111.05
707453,300.57,91.08,106.83
707454,300.65,78.91,66.49
707455,300.83,71.83,45.56
707456,301.01,78.91,52.64
707457,301.18,66.17,39.9
707458,301.36,54.56,28.29
707459,301.53,48.61,22.79
707460,301.7,42.55,16.3
707461,301.86,40.3,15.85
707462,302.04,44.84,18.12
707463,302.2,56.73,30.59
707464,302.37,71.46,45.21
707465,302.54,67.21,40.96
707466,302.71,59.3,33.97
707467,302.87,72.91,47.58
707468,303.04,90.75,65.43
707469,303.2,72.91,47.59
707470,303.36,65.83,40.1
707471,303.53,61.87,35.78
707472,303.69,56.79,31.21
707473,303.86,50.58,25.25
707474,304.02,56.81,30.6
707475,304.19,169.51,143.16
707476,304.6,255.02,189.57
707477,305.2,292.4,195.74
707478,305.01,174.32,205.83
707479,304.85,115.7,140.91
707480,304.92,93.9,82.06
707481,305.17,87.67,47.68
707482,305.33,81.44,55.96
707483,305.49,104.38,78.5
707484,305.65,87.67,61.44
707485,305.81,75.78,49.55
707486,305.97,67.28,41.05
707487,306.13,64.45,38.22
707488,306.29,70.12,43.88
707489,306.45,78.61,52.91
707490,306.61,72.35,46.66
707491,306.76,65.27,39.58
707492,306.92,58.76,33.06
