timeInRun,elev_m,inflow_cms,outlfow_cms,active rule
706619,359.69,14.03,14.03,GC
706620,359.69,21.95,21.95,GC
706621,359.69,13.09,13.09,GC
706622,359.69,9.6,9.6,GC
706623,359.69,7.61,7.61,GC
706624,359.69,6.47,6.47,GC
706625,359.69,5.66,5.66,GC
706626,359.69,5.14,5.14,GC
706627,359.69,4.48,4.48,GC
706628,359.69,4.08,4.08,GC
706629,359.69,3.71,3.71,GC
706630,359.69,3.3,3.3,GC
706631,359.69,3.19,3.19,GC
706632,359.69,3.05,3.05,GC
706633,359.69,3.4,3.4,GC
706634,359.69,3.66,3.66,GC
706635,359.69,9.4,9.4,GC
706636,359.69,10.36,10.36,GC
706637,359.69,11.22,11.22,GC
706638,359.69,23.81,23.81,GC:Vida Max Flood
706639,359.73,28.57,28.32,GC:Vida Max Flood
706640,359.84,29.12,28.49,GC:Max Evacuation Release
706641,370.93,119.37,28.73,GC:Vida Max Flood
706642,371.47,60.22,55.24,GC:Vida Max Flood
706643,379.26,152.74,56.51,GC:Vida Max Flood
706644,379.82,83.02,75.12,GC:Vida Max Flood
706645,377.37,42.04,76.47,GC:Vida Max Flood
706646,373.99,28.83,70.61,GC:Vida Max Flood
706647,370.52,25.39,62.54,GC:Vida Max Flood
706648,368.77,36.77,54.25,GC:Vida Max Flood
706649,371.98,83.03,50.06,GC:Vida Max Flood
706650,377.83,122.36,52.46,GC:Max Evacuation Release
706651,378.99,87.99,71.71,GC:Vida Max Flood
706652,379.51,78.08,70.75,GC:Max Evacuation Release
706653,378.27,58.26,75.73,GC:Max Evacuation Release
706654,376.5,49.34,72.76,GC:Max Evacuation Release
706655,373.76,35.46,68.53,GC:Max Evacuation Release
706656,370.5,26.74,62,GC:Max Evacuation Release
706657,367.04,21.42,54.21,GC:Max Evacuation Release
706658,364.21,22.91,45.94,GC:Max Evacuation Release
706659,362.19,24.4,39.17,GC:Max Evacuation Release
706660,360.14,20.67,34.34,GC
706661,359.69,18.79,21.59,GC
706662,359.69,18.79,18.79,GC
706663,359.69,18.1,18.1,GC
706664,359.69,17.44,17.44,GC
706665,359.69,14.27,14.27,GC
706666,359.69,12.89,12.89,GC
706667,359.69,11.98,11.98,GC
706668,359.69,10.79,10.79,GC
706669,359.69,10.1,10.1,Daily BiOp Max Rate Decrease
706670,360.37,9.31,5.05,Daily BiOp Max Rate Decrease
706671,361.29,8.61,2.53,Min Flow - at Blue River
706672,362.25,8.02,1.42,Min Flow - at Blue River
706673,363.14,7.72,1.42,Min Flow - at Blue River
706674,363.97,7.59,1.42,Min Flow - at Blue River
706675,364.73,7.3,1.42,Min Flow - at Blue River
706676,365.6,8.32,1.42,Min Flow - at Blue River
706677,366.44,8.33,1.42,Min Flow - at Blue River
706678,367.21,8.03,1.42,Min Flow - at Blue River
706679,367.83,6.87,1.42,Min Flow - at Blue River
706680,368.4,6.61,1.42,Min Flow - at Blue River
706681,368.96,6.61,1.42,Min Flow - at Blue River
706682,369.76,9.09,1.42,Min Flow - at Blue River
706683,371.15,15.7,1.42,Min Flow - at Blue River
706684,372.14,12.13,1.42,Min Flow - at Blue River
706685,373,10.55,1.42,Min Flow - at Blue River
706686,373.7,9.72,1.42,Min Flow - at Blue River
706687,374.38,9.26,1.42,Min Flow - at Blue River
706688,375,8.63,1.42,Min Flow - at Blue River
706689,375.62,8.63,1.42,Min Flow - at Blue River
706690,376.31,10.22,1.42,Min Flow - at Blue River
706691,379.64,46.7,1.42,Min Flow - at Blue River
706692,382.85,51,1.42,Min Flow - at Blue River
706693,384.81,35.14,1.42,Min Flow - at Blue River
706694,386.03,24.4,1.42,Min Flow - at Blue River
706695,386.91,19.24,1.42,Min Flow - at Blue River
706696,387.67,17.19,1.42,Min Flow - at Blue River
706697,388.45,18.08,1.42,Min Flow - at Blue River
706698,389.29,20.67,1.42,Min Flow - at Blue River
706699,391.17,25.66,1.42,Min Flow - at Blue River
706700,392.27,29.89,1.42,Min Flow - at Blue River
706701,393.4,30.75,1.42,Min Flow - at Blue River
706702,394.31,26.46,1.42,Min Flow - at Blue River
706703,395.05,23.62,1.42,GC
706704,395.59,21.4,6.03,GC
706705,395.89,18.06,9.71,GC
706706,396.19,18.06,8.53,GC
706707,396.48,24.38,15.77,GC
706708,396.78,19.46,10,GC
706709,397.08,16.08,6.34,GC
706710,397.38,16.94,8.24,GC
706711,397.67,16.75,7.39,GC
706712,397.95,15.89,6.64,GC
706713,398.24,16.55,7.3,GC
706714,398.52,14.63,5.39,GC
706715,398.8,13.41,4.17,GC
706716,399.08,12.12,2.88,GC
706717,399.36,11.39,2.15,GC
706718,399.65,12.48,3.24,GC
706719,399.93,13.61,4.36,GC
706720,400.19,11.92,3.3,Daily BiOp Max Rate Decrease
706721,400.44,10.9,1.65,Min Flow - at Blue River
706722,400.7,10.21,1.42,Min Flow - at Blue River
706723,400.93,9.08,1.42,Min Flow - at Blue River
706724,401.16,9.25,1.42,GC
706725,401.51,20.65,8.24,GC
706726,401.77,22.63,13.82,Daily BiOp Max Rate Decrease
706727,401.97,14.64,6.91,Daily BiOp Max Rate Decrease
706728,402.21,11.4,3.45,Daily BiOp Max Rate Decrease
706729,402.44,9.88,1.73,Min Flow - at Blue River
706730,402.64,8.72,1.42,Min Flow - at Blue River
706731,402.81,7.96,1.42,Min Flow - at Blue River
706732,402.99,8.26,1.42,Min Flow - at Blue River
706733,403.19,8.89,1.42,Min Flow - at Blue River
706734,403.39,8.26,1.42,Min Flow - at Blue River
706735,403.6,8.26,1.42,Min Flow - at Blue River
706736,403.87,11.5,1.42,Min Flow - at Salem
706737,404.23,15,1.47,Min Flow - at Blue River
706738,404.59,15,1.42,GC
706739,405,19.86,3.46,GC
706740,405.24,29.84,20.47,GC:Vida Max Flood
706741,405.61,36.71,22.65,GC:Vida Max Flood
706742,405.93,34.4,22.65,GC:Vida Max Flood
706743,406.12,30.4,22.65,GC:Vida Max Flood
706744,406.3,30.1,22.65,GC:Vida Max Flood
706745,406.48,29.57,22.65,GC
706746,406.66,26.67,19.66,GC
706747,406.89,23.56,13.65,GC
706748,407.13,19.86,10.99,GC
706749,407.37,18.24,8.71,GC
706750,407.59,18.47,9.16,GC
706751,407.81,18.24,8.92,GC
706752,408.03,16.88,8.53,GC
706753,408.25,19.86,11.01,GC
706754,408.47,18.24,8.92,Min Flow - at Salem
706755,408.67,15,6.73,Daily BiOp Max Rate Decrease
706756,408.9,13.35,3.36,GC
706757,409.13,12.42,2.74,GC
706758,409.35,12.06,3.07,GC
706759,409.56,12.62,3.63,GC
706760,409.77,11.98,2.99,GC
706761,409.99,11.98,2.99,GC
706762,410.2,12.71,3.71,GC
706763,410.41,14.29,5.3,GC
706764,410.63,20.51,11.23,GC
706765,410.84,20.27,10.28,GC
706766,411.05,16.8,7.67,GC
706767,411.27,15.12,6.13,GC
706768,411.48,14.49,5.5,GC
706769,411.48,14.92,14.92,GC
706770,411.48,14.69,14.69,GC
706771,411.48,13.47,13.47,GC
706772,411.48,12.34,12.34,GC
706773,411.48,12.91,12.91,GC
706774,411.48,12.91,12.91,GC
706775,411.48,13.07,13.07,GC
706776,411.48,11.25,11.25,GC
706777,411.48,10.06,10.06,GC
706778,411.48,10.06,10.06,GC
706779,411.48,14.92,14.92,GC
706780,411.48,18.16,18.16,GC
706781,411.48,16.61,16.61,GC
706782,411.48,14.29,14.29,GC
706783,411.48,12.54,12.54,GC
706784,411.48,11.62,11.62,GC
706785,411.48,10.76,10.76,GC
706786,411.48,9.73,9.73,GC
706787,411.48,8.64,8.64,GC
706788,411.48,7.88,7.88,GC
706789,411.48,7.88,7.88,GC
706790,411.48,7.15,7.15,GC
706791,411.48,6.76,6.76,GC
706792,411.48,6.76,6.76,GC
706793,411.48,6.06,6.06,GC
706794,411.48,5.8,5.8,GC
706795,411.48,5.5,5.5,GC
706796,411.48,6.06,6.06,GC
706797,411.48,7.65,7.65,GC
706798,411.48,10.66,10.66,GC
706799,411.48,9.63,9.63,GC
706800,411.48,8.38,8.38,GC
706801,411.48,7.49,7.49,GC
706802,411.48,6.76,6.76,GC
706803,411.48,6.2,6.2,GC
706804,411.48,5.93,5.93,GC
706805,411.48,6.92,6.92,GC
706806,411.48,8.84,8.84,GC
706807,411.48,9.63,9.63,GC
706808,411.48,8.38,8.38,GC
706809,411.48,7.49,7.49,GC
706810,411.48,6.62,6.62,GC
706811,411.48,6.06,6.06,GC
706812,411.48,5.5,5.5,GC
706813,411.48,5.11,5.11,GC
706814,411.48,4.84,4.84,GC
706815,411.48,4.44,4.44,GC
706816,411.48,4.18,4.18,GC
706817,411.48,3.91,3.91,GC
706818,411.48,3.65,3.65,GC
706819,411.48,3.55,3.55,GC
706820,411.48,3.42,3.42,GC
706821,411.48,3.17,3.17,GC
706822,411.48,2.9,2.9,GC
706823,411.48,2.9,2.9,GC
706824,411.48,3.17,3.17,GC
706825,411.48,2.9,2.9,GC
706826,411.48,2.8,2.8,GC
706827,411.48,2.54,2.54,GC
706828,411.48,2.44,2.44,GC
706829,411.48,2.81,2.81,GC
706830,411.48,2.54,2.54,GC
706831,411.48,2.68,2.68,GC
706832,411.48,2.31,2.31,GC
706833,411.48,2.21,2.21,GC
706834,411.48,2.08,2.08,Min Flow - at Albany by Water Year Type
706835,411.47,1.98,2.45,Min Flow - at Albany by Water Year Type
706836,411.45,1.98,2.96,Min Flow - at Albany by Water Year Type
706837,411.43,1.89,2.72,Min Flow - at Albany by Water Year Type
706838,411.41,1.75,2.26,Min Flow - at Albany by Water Year Type
706839,411.4,1.65,2.41,Min Flow - at Albany by Water Year Type
706840,411.37,1.52,2.59,Min Flow - at Albany by Water Year Type
706841,411.29,1.52,4.75,Min Flow - at Albany by Water Year Type
706842,411.22,1.42,4.47,Min Flow - at Albany by Water Year Type
706843,411.16,1.36,3.87,Min Flow - at Albany by Water Year Type
706844,411.11,1.36,3.53,Min Flow - at Albany by Water Year Type
706845,411.02,1.26,5.23,Min Flow - at Albany by Water Year Type
706846,410.94,1.26,4.58,Min Flow - at Albany by Water Year Type
706847,410.87,1.19,3.92,Min Flow - at Albany by Water Year Type
706848,410.84,1.19,2.96,Min Flow - at Albany by Water Year Type
706849,410.74,1.19,5.66,Min Flow - at Albany by Water Year Type
706850,410.64,1.13,5.87,Min Flow - at Albany by Water Year Type
706851,410.55,1.13,5.27,Min Flow - at Albany by Water Year Type
706852,410.45,1.17,5.14,Min Flow - at Albany by Water Year Type
706853,410.36,1.11,5.23,Min Flow - at Albany by Water Year Type
706854,410.26,1.11,5.31,Min Flow - at Albany by Water Year Type
706855,410.15,1.11,5.46,Min Flow - at Albany by Water Year Type
706856,410.05,1.01,5.53,Min Flow - at Albany by Water Year Type
706857,409.94,1.01,5.51,Min Flow - at Albany by Water Year Type
706858,409.83,1.01,5.57,Min Flow - at Albany by Water Year Type
706859,409.72,0.94,5.67,Min Flow - at Albany by Water Year Type
706860,409.61,0.94,5.71,Min Flow - at Albany by Water Year Type
706861,409.49,0.88,5.67,Min Flow - at Albany by Water Year Type
706862,409.38,0.88,5.71,Min Flow - at Albany by Water Year Type
706863,409.26,0.88,5.99,Min Flow - at Albany by Water Year Type
706864,409.13,0.88,6.04,Min Flow - at Albany by Water Year Type
706865,409.01,0.88,6.12,Min Flow - at Albany by Water Year Type
706866,408.88,0.78,6.24,Min Flow - at Albany by Water Year Type
706867,408.75,0.72,6.29,Min Flow - at Albany by Water Year Type
706868,408.62,0.72,6.28,Min Flow - at Albany by Water Year Type
706869,408.48,0.72,6.26,Min Flow - at Albany by Water Year Type
706870,408.37,0.72,5.5,Min Flow - at Albany by Water Year Type
706871,408.28,0.65,4.61,Min Flow - at Albany by Water Year Type
706872,408.18,0.65,4.55,Min Flow - at Albany by Water Year Type
706873,408.08,0.62,4.62,Min Flow - at Albany by Water Year Type
706874,407.97,0.65,4.83,Min Flow - at Albany by Water Year Type
706875,407.85,0.65,5.24,Min Flow - at Albany by Water Year Type
706876,407.73,0.65,5.48,Min Flow - at Albany by Water Year Type
706877,407.61,0.65,5.69,Min Flow - at Albany by Water Year Type
706878,407.49,0.62,5.84,Min Flow - at Salem
706879,407.36,0.62,5.92,Min Flow - at Albany by Water Year Type
706880,407.24,0.63,5.75,Min Flow - at Albany by Water Year Type
706881,407.07,0.63,7.27,Min Flow - at Albany by Water Year Type
706882,406.89,0.63,7.32,Min Flow - at Albany by Water Year Type
706883,406.76,0.99,6.78,Min Flow - at Albany by Water Year Type
706884,406.62,1.29,6.86,Min Flow - at Albany by Water Year Type
706885,406.52,1.06,5.1,Min Flow - at Albany by Water Year Type
706886,406.35,0.9,7.33,Min Flow - at Albany by Water Year Type
706887,406.16,0.83,8.28,Min Flow - at Albany by Water Year Type
706888,405.99,0.83,8,Min Flow - at Albany by Water Year Type:Max Con Flow - at Blue River
706889,405.79,0.77,8.5,Min Flow - at Albany by Water Year Type
706890,405.58,0.77,8.47,Min Flow - at Albany by Water Year Type
706891,405.38,0.74,8.45,Min Flow - at Albany by Water Year Type
706892,405.18,0.74,8.29,Min Flow - at Albany by Water Year Type
706893,405.01,0.74,7.26,Min Flow - at Albany by Water Year Type
706894,404.84,0.74,7.94,Min Flow - at Albany by Water Year Type
706895,404.69,1.43,7.42,Min Flow - at Albany by Water Year Type
706896,404.59,3.48,7.23,Min Flow - at Albany by Water Year Type:Max Con Flow - at Blue River
706897,404.41,1.7,8.5,Min Flow - at Albany by Water Year Type
706898,404.22,1.14,8.18,Min Flow - at Albany by Water Year Type
706899,404.02,1.01,8.33,Min Flow - at Albany by Water Year Type
706900,403.82,0.91,8.4,Min Flow - at Albany by Water Year Type
706901,403.63,0.84,8.06,Min Flow - at Albany by Water Year Type:Max Con Flow - at Blue River
706902,403.4,0.78,8.5,Min Flow - at Albany by Water Year Type
706903,403.21,0.78,7.51,GC
706904,402.99,0.75,8.78,GC
706905,402.57,0.75,16.45,GC
706906,402.15,0.75,15.6,GC
706907,401.73,0.72,15.85,GC
706908,401.31,0.72,14.99,GC
706909,400.9,0.65,15.32,GC
706910,400.48,0.65,14.54,GC
706911,400.03,0.65,16.64,GC
706912,399.58,0.66,15.36,GC
706913,399.13,0.76,15.47,GC
706914,398.68,0.76,15.47,GC
706915,398.23,0.76,15.47,GC
706916,397.79,0.76,15.47,GC
706917,397.34,0.76,14.89,GC
706918,396.83,0.76,16.52,GC
706919,396.32,0.69,16.27,GC
706920,395.82,0.66,16.33,GC
706921,395.31,0.66,14.9,GC
706922,394.8,0.66,15.91,GC
706923,394.3,0.66,15.31,GC
706924,393.79,0.66,14.9,GC
706925,393.28,0.65,13.9,GC
706926,392.68,0.68,17.17,GC
706927,392.08,0.68,16.17,GC
706928,391.48,0.65,16.14,GC
706929,390.88,0.65,15.28,GC
706930,390.27,0.65,15.57,GC
706931,389.67,0.65,15.35,GC
706932,389.07,0.65,13.32,GC
706933,388.47,0.65,14.74,GC
706934,387.68,0.65,17.49,GC
706935,386.9,0.65,16.78,GC
706936,386.11,0.65,16.78,GC
706937,385.33,0.65,15.35,GC
706938,384.54,0.65,15.35,GC
706939,383.76,0.61,13.89,GC
706940,382.97,0.61,13.89,GC
706941,382.19,0.61,13.75,GC
706942,381.12,0.61,17.03,GC
706943,380.06,0.61,17.03,GC
706944,378.99,0.7,15.69,GC
706945,377.92,0.7,15.69,GC
706946,376.85,0.7,14.83,GC
706947,375.79,0.73,15,GC
706948,374.72,0.8,13.07,GC
706949,373.12,0.73,19.14,GC
706950,371.52,0.7,18.54,GC
706951,369.92,0.7,16.85,GC
706952,368.32,0.7,15.91,GC
706953,366.72,0.7,14.86,GC
706954,365.12,0.7,13.85,GC
706955,363.52,0.66,12.93,GC
706956,361.92,0.66,12.12,GC
706957,361.6,0.66,2.84,GC
706958,361.28,0.66,2.81,GC
706959,360.97,0.66,2.79,GC
706960,360.65,0.7,2.78,GC
706961,360.33,0.7,2.76,GC
706962,360.01,0.66,2.69,GC
706963,359.69,0.66,2.66,Min Flow - at Blue River:ZB
706964,359.66,0.66,0.85,ZB
706965,359.66,0.6,0.6,ZB
706966,359.66,0.6,0.6,ZB
706967,359.66,0.6,0.6,ZB
706968,359.66,0.6,0.6,ZB
706969,359.66,0.6,0.6,ZB
706970,359.66,0.53,0.53,ZB
706971,359.66,0.53,0.53,ZB
706972,359.66,0.53,0.53,ZB
706973,359.66,0.53,0.53,ZB
706974,359.66,0.54,0.54,ZB
706975,359.66,0.54,0.54,ZB
706976,359.66,0.61,0.61,ZB
706977,359.66,0.71,0.71,GC
706978,359.69,2.56,2.37,GC
706979,359.69,5.73,5.73,GC
706980,359.69,12.11,12.11,GC
706981,359.69,9.86,9.86,GC
706982,359.69,8.77,8.77,GC
706983,359.69,4.54,4.54,GC
706984,359.69,2.89,2.89,GC
706985,359.69,2.1,2.1,GC
706986,359.69,1.7,1.7,GC
706987,359.69,1.47,1.47,Min Flow - at Blue River
706988,359.69,1.4,1.42,Min Flow - at Blue River
706989,359.69,1.4,1.42,GC
706990,359.69,3.52,3.5,GC
706991,359.69,8.61,8.61,GC
706992,359.69,6.59,6.59,GC
706993,359.69,4.41,4.41,GC
706994,359.69,9.56,9.56,GC
706995,359.69,18.29,18.29,GC
706996,359.69,25.92,25.92,GC
706997,359.69,21.4,21.4,GC
706998,359.69,13.04,13.04,GC
706999,359.69,9.4,9.4,GC
707000,359.69,7.29,7.29,GC
707001,359.69,5.9,5.9,GC
707002,359.69,5.07,5.07,GC
707003,359.69,4.54,4.54,GC
707004,359.69,3.88,3.88,GC
707005,359.69,3.38,3.38,GC
707006,359.69,2.88,2.88,GC
707007,359.69,2.65,2.65,GC
707008,359.69,3.15,3.15,GC
707009,359.69,3.15,3.15,GC
707010,359.69,1.99,1.99,GC
707011,359.69,1.99,1.99,GC
707012,359.69,2.42,2.42,GC
707013,359.69,2.89,2.89,GC
707014,359.69,2.79,2.79,GC
707015,359.69,2.33,2.33,GC
707016,359.69,2,2,GC
707017,359.69,1.73,1.73,GC
707018,359.69,1.87,1.87,GC
707019,359.69,2.56,2.56,GC
707020,359.69,2.4,2.4,GC
707021,359.69,2.23,2.23,GC
707022,359.69,2.57,2.57,GC
707023,359.69,2.25,2.25,GC
707024,359.69,2.09,2.09,GC
707025,359.69,1.93,1.93,GC
707026,359.69,1.83,1.83,GC
707027,359.69,1.93,1.93,GC
707028,359.69,2.04,2.04,GC
707029,359.69,1.91,1.91,GC
707030,359.69,2.44,2.44,GC
707031,359.69,2.77,2.77,GC
707032,359.69,2.44,2.44,GC
707033,359.69,2.28,2.28,GC
707034,359.69,2.18,2.18,Min Flow - at Blue River
707035,359.81,2.12,1.42,Min Flow - at Blue River
707036,360.17,3.71,1.42,Min Flow - at Blue River
707037,360.53,3.71,1.42,Min Flow - at Blue River
707038,360.93,4.04,1.42,Min Flow - at Blue River
707039,361.37,4.38,1.42,Min Flow - at Blue River
707040,361.76,4.05,1.42,Min Flow - at Blue River
707041,362.05,3.39,1.42,Min Flow - at Blue River
707042,362.23,2.73,1.42,Min Flow - at Blue River
707043,362.38,2.41,1.42,Min Flow - at Blue River
707044,362.49,2.24,1.42,Min Flow - at Blue River
707045,362.59,2.11,1.42,Min Flow - at Blue River
707046,363.21,5.91,1.42,Min Flow - at Blue River
707047,366.95,31.06,1.42,Min Flow - at Blue River
707048,368.8,18.08,1.42,Min Flow - at Blue River
707049,369.96,12.49,1.42,Min Flow - at Blue River
707050,370.72,9.72,1.42,Min Flow - at Blue River
707051,371.66,10.75,1.42,Min Flow - at Blue River
707052,372.87,14.05,1.42,Min Flow - at Blue River
707053,374.21,17.42,1.42,Min Flow - at Blue River
707054,375.1,11.57,1.42,Min Flow - at Blue River
707055,375.73,8.8,1.42,Min Flow - at Blue River
707056,376.29,8.8,1.42,Min Flow - at Blue River
707057,377.12,11.77,1.42,Min Flow - at Blue River
707058,377.94,12.86,1.42,Min Flow - at Blue River
707059,378.89,14.85,1.42,Min Flow - at Blue River
707060,380.02,17.19,1.42,Min Flow - at Blue River
707061,380.89,14.65,1.42,Min Flow - at Blue River
707062,381.63,12.3,1.42,Min Flow - at Blue River
707063,382.29,12.5,1.42,Min Flow - at Blue River
707064,383.7,24.8,1.42,Min Flow - at Blue River
707065,386.3,49.32,1.42,Min Flow - at Blue River
707066,387.88,34.12,1.42,Min Flow - at Blue River
707067,389.14,29.63,1.42,Min Flow - at Blue River
707068,390.53,33.79,1.42,Min Flow - at Blue River
707069,391.88,34.46,1.42,Min Flow - at Blue River
707070,392.9,28.31,1.42,Min Flow - at Blue River
707071,393.94,29.1,1.42,Min Flow - at Blue River
707072,395.16,37.1,1.42,Min Flow - at Blue River
707073,396.32,35.45,1.42,GC
707074,396.78,33.14,18.95,GC:Max Con Flow - at Blue River
707075,397.19,38.75,25.49,GC:Max Con Flow - at Blue River
707076,397.69,40.74,25.49,GC
707077,397.67,37.43,38.15,GC
707078,397.95,31.35,22.11,GC
707079,398.24,28.05,18.8,GC
707080,398.52,25.67,16.43,GC
707081,398.8,22.4,13.15,GC
707082,399.08,19,9.75,GC
707083,399.36,16.09,6.85,GC
707084,399.65,14.24,5,GC
707085,399.93,12.85,3.61,GC
707086,400.19,11.93,3.31,Daily BiOp Max Rate Decrease
707087,400.45,11.4,1.65,GC
707088,400.72,11.06,2.14,GC
707089,400.98,11.06,2.44,GC
707090,401.24,11.93,2.72,GC
707091,401.51,12.85,3.39,GC
707092,401.77,13.61,4.8,GC
707093,402.03,16.09,6.24,GC
707094,402.28,28.85,20.57,GC:Vida Max Flood
707095,402.78,41.01,22.65,GC:Vida Max Flood
707096,402.99,30.7,22.65,GC
707097,403.04,23.82,22.07,GC
707098,403.29,25.61,16.35,GC
707099,403.55,27.19,18.91,GC
707100,403.8,23.82,14.4,GC
707101,404.04,20.58,11.59,GC
707102,404.28,20.35,11.36,GC
707103,404.52,26.14,17.14,GC:Vida Max Flood
707104,404.77,32.18,22.65,GC
707105,405,29.57,20.06,GC
707106,405.24,28.25,18.88,GC:Vida Max Flood
707107,407.74,121.64,22.65,GC:Vida Max Flood
707108,409.97,142.79,50,GC:Vida Max Flood
707109,409.97,99.83,99.83,GC:Vida Max Flood
707110,409.03,60.17,100.09,GC:Max Evacuation Release
707111,407.46,40.02,104.77,GC
707112,406.66,30.7,62.88,Daily BiOp Max Rate Decrease:Max Con Flow - at Blue River
707113,406.74,26.14,22.65,Daily BiOp Max Rate Decrease
707114,407.08,24.82,11.33,GC
707115,407.37,28.78,17.44,GC
707116,407.59,24.32,15,GC
707117,407.81,20.35,11.04,GC
707118,408.03,18.24,9.89,GC
707119,408.25,21.11,12.26,GC
707120,408.47,22.57,13.25,GC
707121,408.69,20.59,11.27,GC
707122,408.91,18.01,8.69,GC
707123,409.13,15.83,6.51,GC
707124,409.35,15.63,6.63,GC
707125,409.56,20.27,11.28,ZB:Max Con Flow - at Blue River
707126,409.77,32.1,23.11,ZB:Max Con Flow - at Blue River
707127,409.99,42.25,33.26,ZB:Max Con Flow - at Blue River
707128,410.2,37.95,28.96,GC
707129,410.41,28.44,19.44,GC
707130,410.63,24.01,14.73,GC
707131,410.84,25.26,15.27,GC
707132,411.05,24.24,15.1,GC
707133,411.27,25.53,16.54,ZB:Max Con Flow - at Blue River
707134,411.48,31.81,22.81,ZB:Max Con Flow - at Blue River
707135,411.48,52.82,52.82,ZB:Max Con Flow - at Blue River
707136,411.48,44.23,44.23,ZB:Max Con Flow - at Blue River
707137,411.48,45.88,45.88,ZB:Max Con Flow - at Blue River
707138,411.48,39.61,39.61,ZB:Max Con Flow - at Blue River
707139,411.48,33.66,33.66,ZB:Max Con Flow - at Blue River
707140,411.48,30.02,30.02,ZB:Max Con Flow - at Blue River
707141,411.48,26.32,26.32,ZB:Max Con Flow - at Blue River
707142,411.48,26.06,26.06,ZB:Max Con Flow - at Blue River
707143,411.48,23.48,23.48,GC
707144,411.48,20.51,20.51,GC
707145,411.48,21.5,21.5,ZB:Max Con Flow - at Blue River
707146,411.48,22.75,22.75,GC
707147,411.48,20.51,20.51,GC
707148,411.48,20.77,20.77,GC
707149,411.48,20.77,20.77,GC
707150,411.48,17.93,17.93,GC
707151,411.48,17.7,17.7,GC
707152,411.48,17.27,17.27,GC
707153,411.48,14.69,14.69,GC
707154,411.48,12.34,12.34,GC
707155,411.48,12.54,12.54,ZB:Max Con Flow - at Blue River
707156,411.48,14.19,14.19,ZB:Max Con Flow - at Blue River
707157,411.48,16.93,16.93,ZB:Max Con Flow - at Blue River
707158,411.48,16.93,16.93,ZB:Max Con Flow - at Blue River
707159,411.48,14.39,14.39,GC
707160,411.48,12.81,12.81,GC
707161,411.48,11.88,11.88,GC
707162,411.48,11.15,11.15,GC
707163,411.48,11.32,11.32,GC
707164,411.48,11.88,11.88,GC
707165,411.48,11.68,11.68,GC
707166,411.48,10.82,10.82,GC
707167,411.48,10.13,10.13,GC
707168,411.48,9.17,9.17,GC
707169,411.48,8.84,8.84,GC
707170,411.48,9.47,9.47,GC
707171,411.48,10.82,10.82,ZB:Max Con Flow - at Blue River
707172,411.48,15.22,15.22,ZB:Max Con Flow - at Blue River
