timeInRun,active rule
706998,GC
706999,GC
707000,GC
707001,GC
707002,Min Flow - at LOP
707003,ZB
707004,ZB
707005,ZB
707006,ZB
707007,ZB
707008,ZB
707009,ZB
707010,ZB
707011,ZB
707012,ZB
707013,ZB
707014,ZB
707015,ZB
707016,ZB
707017,ZB
707018,ZB
707019,ZB
707020,ZB
707021,ZB
707022,ZB
707023,ZB
707024,ZB
707025,ZB
707026,ZB
707027,ZB
707028,ZB
707029,ZB
707030,ZB
707031,ZB
707032,ZB
707033,ZB
707034,ZB
707035,ZB
707036,ZB
707037,ZB
707038,ZB
707039,Min Flow - at LOP
707040,Min Flow - at LOP
707041,Min Flow - at LOP
707042,Min Flow - at LOP
707043,Min Flow - at LOP
707044,Min Flow - at LOP
707045,Min Flow - at LOP
707046,Min Flow - at LOP
707047,Min Flow - at LOP
707048,Min Flow - at LOP
707049,Min Flow - at LOP
707050,Min Flow - at LOP
707051,Min Flow - at LOP
707052,Min Flow - at LOP
707053,Min Flow - at LOP
707054,Min Flow - at LOP
707055,Min Flow - at LOP
707056,Min Flow - at LOP
707057,Min Flow - at LOP
707058,Min Flow - at LOP
707059,Min Flow - at LOP
707060,Min Flow - at LOP
707061,Min Flow - at LOP
707062,Min Flow - at LOP
707063,Min Flow - at LOP
707064,Min Flow - Hills Creek
707065,Min Flow - at LOP
707066,Min Flow - Hills Creek
707067,Min Flow - Hills Creek
707068,Min Flow - Hills Creek
707069,Min Flow - at LOP
707070,Min Flow - Hills Creek
707071,Min Flow - Hills Creek
707072,Min Flow - Hills Creek
707073,Min Flow - Hills Creek
707074,Min Flow - Hills Creek
707075,Min Flow - Hills Creek
707076,Min Flow - Hills Creek
707077,Min Flow - Hills Creek
707078,Min Flow - Hills Creek
707079,Min Flow - Hills Creek
707080,Min Flow - at LOP
707081,Min Flow - at LOP
707082,Min Flow - at LOP
707083,Min Flow - at LOP
707084,Min Flow - at LOP
707085,Min Flow - at LOP
707086,Min Flow - at LOP
707087,Min Flow - at LOP
707088,Min Flow - at LOP
707089,Min Flow - at LOP
707090,Min Flow - at LOP
707091,Min Flow - at LOP
707092,Min Flow - at LOP
707093,Min Flow - at LOP
707094,Min Flow - at LOP
707095,Min Flow - at LOP
707096,Min Flow - Hills Creek
707097,Min Flow - at LOP
707098,Min Flow - at LOP
707099,Min Flow - at LOP
707100,Min Flow - at LOP
707101,Min Flow - at LOP
707102,Min Flow - at LOP
707103,Min Flow - at LOP
707104,Min Flow - at LOP
707105,Min Flow - at LOP
707106,Min Flow - at LOP
707107,Min Flow - at LOP
707108,GC:Max Flow (Winter and Conservation)
707109,GC:Max Flow (Winter and Conservation)
707110,GC:Max Flow (Winter and Conservation)
707111,GC:Max Flow (Winter and Conservation)
707112,GC:Max Flow (Winter and Conservation)
707113,GC:HCR power max release
707114,GC
707115,LOP special curve IRRM
707116,GC
707117,ZB
707118,ZB
707119,ZB
707120,ZB
707121,ZB
707122,ZB
707123,ZB
707124,ZB
707125,ZB
707126,ZB
707127,ZB
707128,ZB
707129,ZB
707130,ZB
707131,ZB
707132,ZB
707133,ZB
707134,ZB
707135,ZB
707136,ZB
707137,ZB
707138,ZB
707139,ZB
707140,ZB
707141,ZB
707142,ZB
707143,ZB
707144,ZB
707145,ZB
707146,ZB
707147,ZB
707148,ZB
707149,ZB
707150,ZB
707151,ZB
707152,ZB
707153,ZB
707154,ZB
707155,ZB
707156,ZB
707157,ZB
707158,ZB
707159,ZB
707160,ZB
707161,ZB
707162,ZB
707163,ZB
707164,ZB
707165,ZB
707166,ZB
707167,ZB
707168,ZB
707169,ZB
707170,ZB
707171,ZB
707172,ZB
707173,ZB
707174,ZB
707175,ZB
707176,ZB
707177,ZB
707178,ZB
707179,ZB
707180,ZB
707181,ZB
707182,ZB
707183,ZB
707184,ZB
707185,ZB
707186,GC
707187,GC
707188,GC
707189,GC
707190,GC
707191,GC
707192,GC
707193,GC
707194,GC
707195,GC
707196,GC
707197,GC
707198,GC
707199,GC
707200,GC
707201,GC
707202,GC
707203,GC
707204,Min Flow - at LOP
707205,Min Flow - at LOP
707206,Min Flow - at LOP
707207,Min Flow - at LOP
707208,Min Flow - at LOP
707209,Min Flow - at LOP
707210,Min Flow - at LOP
707211,Min Flow - at LOP
707212,Min Flow - at LOP
707213,Min Flow - at LOP
707214,Min Flow - at LOP
707215,Min Flow - at Albany by Water Year Type
707216,Min Flow - at Albany by Water Year Type
707217,Min Flow - at Albany by Water Year Type
707218,Min Flow - at Albany by Water Year Type
707219,Min Flow - at Albany by Water Year Type
707220,Min Flow - at Albany by Water Year Type
707221,Min Flow - at Albany by Water Year Type
707222,Min Flow - at Albany by Water Year Type
707223,Min Flow - at Albany by Water Year Type
707224,Min Flow - at Albany by Water Year Type
707225,Min Flow - at Albany by Water Year Type
707226,Min Flow - at Albany by Water Year Type
707227,Min Flow - at Albany by Water Year Type
707228,Min Flow - at Albany by Water Year Type
707229,Min Flow - at Albany by Water Year Type
707230,Min Flow - at Albany by Water Year Type
707231,Min Flow - at Albany by Water Year Type
707232,Min Flow - at Albany by Water Year Type
707233,Min Flow - at Albany by Water Year Type
707234,Min Flow - at Albany by Water Year Type
707235,Min Flow - at Albany by Water Year Type
707236,Min Flow - at Albany by Water Year Type
707237,Min Flow - at Albany by Water Year Type
707238,Min Flow - at Albany by Water Year Type
707239,Min Flow - at Albany by Water Year Type
707240,Min Flow - at Albany by Water Year Type
707241,Min Flow - at Albany by Water Year Type
707242,Min Flow - at Albany by Water Year Type
707243,Min Flow - at Albany by Water Year Type
707244,Min Flow - at Albany by Water Year Type
707245,Min Flow - at Albany by Water Year Type
707246,Min Flow - at Salem
707247,Min Flow - at Salem
707248,Min Flow - at LOP
707249,Min Flow - at LOP
707250,Min Flow - at LOP
707251,Min Flow - at LOP
707252,Min Flow - at LOP
707253,Min Flow - at LOP
707254,Min Flow - at LOP
707255,Min Flow - at LOP
707256,Min Flow - at Salem
707257,Min Flow - at Salem
707258,Min Flow - at Salem
707259,Min Flow - at Salem
