REGION,PVT,PVTto,VEGCLASSfrom,VEGCLASSto,ABBREVfrom,ABBREVto,STARTAGE,ENDAGE,RNDAGE,LAI,CARBON
1,2,2,6056320,6057320,MH:Sc2,MH:Mc2,81,121,97,5.000000,0.000000
1,2,2,2052000,2055210,PK:GF,PK:Pm1,0,40,17,1.000000,0.000000
1,2,2,2057210,2057210,PK:Mm1,PK:Mm1,91,999,191,5.000000,0.000000
1,2,2,2055210,2056210,PK:Pm1,PK:Sm1,41,60,42,3.000000,0.000000
1,2,2,2056210,2057210,PK:Sm1,PK:Mm1,61,90,73,5.000000,0.000000
1,2,2,4359320,4359320,SFDF:Gc2,SFDF:Gc2,501,999,604,7.000000,0.000000
1,2,2,4352000,4354100,SFDF:GF,SFDF:Yo,0,10,5,3.000000,0.000000
1,2,2,4359220,4359220,SFDF:Gm2,SFDF:Gm2,501,999,606,7.000000,0.000000
1,2,2,4358320,4359320,SFDF:Lc2,SFDF:Gc2,152,500,258,7.000000,0.000000
1,2,2,4358220,4359320,SFDF:Lm2,SFDF:Gc2,152,500,259,7.000000,0.000000
1,2,2,4357320,4358320,SFDF:Mc2,SFDF:Lc2,112,151,140,7.000000,0.000000
1,2,2,4357220,4358220,SFDF:Mm2,SFDF:Lm2,112,151,141,7.000000,0.000000
1,2,2,4355210,4356220,SFDF:Pm1,SFDF:Sm2,41,80,71,7.000000,0.000000
1,2,2,4356320,4357320,SFDF:Sc2,SFDF:Mc2,81,121,110,7.000000,0.000000
1,2,2,4356220,4357320,SFDF:Sm2,SFDF:Mc2,81,111,100,7.000000,0.000000
1,2,2,4354100,4355210,SFDF:Yo,SFDF:Pm1,11,40,34,6.000000,0.000000
1,3,3,4009320,4009320,DF:Gc2,DF:Gc2,231,999,345,8.000000,0.000000
1,3,3,4002000,4004100,DF:GF,DF:Yo,0,25,11,0.500000,0.000000
1,3,3,4009220,4009320,DF:Gm2,DF:Gc2,231,260,257,8.000000,0.000000
1,3,3,4008320,4009320,DF:Lc2,DF:Gc2,150,300,267,8.000000,0.000000
1,3,3,4008220,4009220,DF:Lm2,DF:Gm2,131,150,149,8.000000,0.000000
1,3,3,4007320,4008320,DF:Mc2,DF:Lc2,111,150,150,8.000000,0.000000
1,3,3,4007220,4008220,DF:Mm2,DF:Lm2,111,130,111,8.000000,0.000000
1,3,3,4005210,4006220,DF:Pm1,DF:Sm2,36,65,37,8.000000,0.000000
1,3,3,4006320,4007320,DF:Sc2,DF:Mc2,66,110,98,8.000000,0.000000
