REGION,PVT,VEGCLASS,ABBREV,STARTAGE,ENDAGE,RNDAGE,LAI,GAP_FRAC,CARBON,DEAD_FUEL,LIVE_FUEL,HEIGHT_M,DBH,FUEL_DEPTH,FINE_FUEL_FRAC,FRAC_1HR_LIVE,FRAC_100HR_LIVE,NEXT_PVT,NEXT_VEGCLASS,NEXT_ABBREV
1,2,4358320,SFDF:Lc2,152,500,258,7,0.3,0,0,0,0,0,0,0,0,0,2,4359320,SFDF:Gc2
1,2,4358220,SFDF:Lm2,152,500,259,7,0.3,0,0,0,0,0,0,0,0,0,2,4359320,SFDF:Gc2
1,2,4357320,SFDF:Mc2,112,151,140,7,0.3,0,0,0,0,0,0,0,0,0,2,4358320,SFDF:Lc2
1,2,4357220,SFDF:Mm2,112,151,141,7,0.3,0,0,0,0,0,0,0,0,0,2,4358220,SFDF:Lm2
1,2,4355210,SFDF:Pm1,41,80,71,7,0.3,0,0,0,0,0,0,0,0,0,2,4356220,SFDF:Sm2
1,2,4356320,SFDF:Sc2,81,121,110,7,0.3,0,0,0,0,0,0,0,0,0,2,4357320,SFDF:Mc2
1,2,4356220,SFDF:Sm2,81,111,100,7,0.3,0,0,0,0,0,0,0,0,0,2,4357320,SFDF:Mc2
1,2,4354100,SFDF:Yo,11,40,34,6,0.3,0,0,0,0,0,0,0,0,0,2,4355210,SFDF:Pm1
1,3,4009320,DF:Gc2,231,999,345,8,0.3,0,0,0,0,0,0,0,0,0,3,4009320,DF:Gc2
1,3,4002000,DF:GF,0,25,11,0.5,0.3,0,0,0,0,0,0,0,0,0,3,4004100,DF:Yo
1,3,4009220,DF:Gm2,231,260,257,8,0.3,0,0,0,0,0,0,0,0,0,3,4009320,DF:Gc2
1,3,4008320,DF:Lc2,150,300,267,8,0.3,0,0,0,0,0,0,0,0,0,3,4009320,DF:Gc2
1,3,4008220,DF:Lm2,131,150,149,8,0.3,0,0,0,0,0,0,0,0,0,3,4009220,DF:Gm2
1,3,4007320,DF:Mc2,111,150,150,8,0.3,0,0,0,0,0,0,0,0,0,3,4008320,DF:Lc2
1,3,4007220,DF:Mm2,111,130,111,8,0.3,0,0,0,0,0,0,0,0,0,3,4008220,DF:Lm2
1,3,4005210,DF:Pm1,36,65,37,8,0.3,0,0,0,0,0,0,0,0,0,3,4006220,DF:Sm2
1,3,4006320,DF:Sc2,66,110,98,8,0.3,0,0,0,0,0,0,0,0,0,3,4007320,DF:Mc2
1,3,4006220,DF:Sm2,66,95,69,8,0.3,0,0,0,0,0,0,0,0,0,3,4007220,DF:Mm2
1,3,4004100,DF:Yo,26,35,30,3,0.3,0,0,0,0,0,0,0,0,0,3,4005210,DF:Pm1
1,3,4109220,DFWF:Gm2,231,999,356,2.5,0.3,0,0,0,0,0,0,0,0,0,3,4109220,DFWF:Gm2
1,3,4108220,DFWF:Lm2,131,230,157,2.5,0.3,0,0,0,0,0,0,0,0,0,3,4109220,DFWF:Gm2
1,3,4107220,DFWF:Mm2,111,130,118,2.5,0.3,0,0,0,0,0,0,0,0,0,3,4008220,DF:Lm2
1,3,4107110,DFWF:Mo1,111,130,119,2.5,0.3,0,0,0,0,0,0,0,0,0,3,4108220,DFWF:Lm2
1,3,4209320,DG:Gc2,231,999,360,8,0.3,0,0,0,0,0,0,0,0,0,3,4209320,DG:Gc2
1,3,4207320,DG:Mc2,111,130,121,8,0.3,0,0,0,0,0,0,0,0,0,3,4358320,SFDF:Lc2
1,3,7057320,LP:Mc2,111,130,122,5,0.3,0,0,0,0,0,0,0,0,0,3,4358320,SFDF:Lc2
1,3,7055210,LP:Pm1,36,70,63,5,0.3,0,0,0,0,0,0,0,0,0,3,7056320,LP:Sc2
1,3,7056320,LP:Sc2,71,110,84,5,0.3,0,0,0,0,0,0,0,0,0,3,7057320,LP:Mc2
1,3,7054100,LP:Yo,26,35,30,3,0.3,0,0,0,0,0,0,0,0,0,3,7055210,LP:Pm1
1,3,6059320,MH:Gc2,301,999,436,7,0.3,0,0,0,0,0,0,0,0,0,3,6059320,MH:Gc2
1,3,6052000,MH:GF,0,25,6,4,0.3,0,0,0,0,0,0,0,0,0,3,6054100,MH:Yo
1,3,6058320,MH:Lc2,151,300,288,7,0.3,0,0,0,0,0,0,0,0,0,3,6059320,MH:Gc2
1,3,6057320,MH:Mc2,111,150,129,7,0.3,0,0,0,0,0,0,0,0,0,3,6058320,MH:Lc2
1,3,6055210,MH:Pm1,36,70,70,5,0.3,0,0,0,0,0,0,0,0,0,3,6056320,MH:Sc2
1,3,6056320,MH:Sc2,71,110,91,5,0.3,0,0,0,0,0,0,0,0,0,3,6057320,MH:Mc2
1,3,6054100,MH:Yo,26,35,27,4,0.3,0,0,0,0,0,0,0,0,0,3,6055210,MH:Pm1
1,3,4459320,WH:Gc2,251,999,393,7,0.3,0,0,0,0,0,0,0,0,0,3,4459320,WH:Gc2
1,5,4009320,DF:Gc2,139,999,282,8,0.3,0,0,0,0,0,0,0,0,0,5,4009320,DF:Gc2
1,5,4009220,DF:Gm2,139,999,283,8,0.3,0,0,0,0,0,0,0,0,0,5,4009220,DF:Gm2
1,5,4008320,DF:Lc2,79,138,104,8,0.3,0,0,0,0,0,0,0,0,0,5,4009320,DF:Gc2
1,5,4007320,DF:Mc2,59,78,65,8,0.3,0,0,0,0,0,0,0,0,0,5,4008320,DF:Lc2
1,5,4006220,DF:Sm2,39,58,46,8,0.3,0,0,0,0,0,0,0,0,0,5,4007320,DF:Mc2
1,5,6055210,MH:Pm1,19,38,27,5,0.3,0,0,0,0,0,0,0,0,0,5,4006210,DF:Sm1
1,5,4359320,SFDF:Gc2,139,999,288,7,0.3,0,0,0,0,0,0,0,0,0,5,4359320,SFDF:Gc2
1,5,4357320,SFDF:Mc2,59,78,69,7,0.3,0,0,0,0,0,0,0,0,0,5,4008320,DF:Lc2
1,6,2505310,Al:Pc1,26,50,27,4,0.3,0,0,0,0,0,0,0,0,0,6,2506310,Al:Sc1
1,6,2506310,Al:Sc1,51,70,63,3,0.3,0,0,0,0,0,0,0,0,0,6,3507320,DFal:Mc2
1,6,2503100,Al:SHo,0,10,10,1,0.3,0,0,0,0,0,0,0,0,0,6,2504100,Al:Yo
1,6,2506210,Al:Sm1,51,70,65,4,0.3,0,0,0,0,0,0,0,0,0,6,3507320,DFal:Mc2
1,6,2506110,Al:So1,51,70,66,4,0.3,0,0,0,0,0,0,0,0,0,6,3507320,DFal:Mc2
1,6,2504100,Al:Yo,11,25,17,3,0.3,0,0,0,0,0,0,0,0,0,6,2505310,Al:Pc1
1,6,4009210,DF:Gm1,176,999,333,8,0.3,0,0,0,0,0,0,0,0,0,6,4009210,DF:Gm1
1,6,4009110,DF:Go1,176,999,334,8,0.3,0,0,0,0,0,0,0,0,0,6,4009110,DF:Go1
1,6,4008110,DF:Lo1,101,175,110,8,0.3,0,0,0,0,0,0,0,0,0,6,4009110,DF:Go1
1,6,4005310,DF:Pc1,26,50,36,5,0.3,0,0,0,0,0,0,0,0,0,6,4006210,DF:Sm1
1,6,4006310,DF:Sc1,51,70,52,8,0.3,0,0,0,0,0,0,0,0,0,6,4007320,DF:Mc2
1,6,4006210,DF:Sm1,51,70,53,8,0.3,0,0,0,0,0,0,0,0,0,6,4007410,DF:M1p
1,6,4006110,DF:So1,51,70,54,8,0.3,0,0,0,0,0,0,0,0,0,6,4007410,DF:M1p
1,6,3509220,DFal:Gm2,176,999,340,6,0.3,0,0,0,0,0,0,0,0,0,6,3509220,DFal:Gm2
1,6,3507320,DFal:Mc2,71,100,86,6,0.3,0,0,0,0,0,0,0,0,0,6,4008320,DF:Lc2
1,6,3506320,DFal:Sc2,51,70,57,6,0.3,0,0,0,0,0,0,0,0,0,6,3507320,DFal:Mc2
1,6,3503300,DFal:SHc,0,8,5,1,0.3,0,0,0,0,0,0,0,0,0,6,4002000,DF:GF
1,6,4058320,DFmx:Lc2,101,175,119,6,0.3,0,0,0,0,0,0,0,0,0,6,4009320,DF:Gc2
1,6,4055310,DFmx:Pc1,11,25,15,6,0.3,0,0,0,0,0,0,0,0,0,6,4006310,DF:Sc1
1,6,4056320,DFmx:Sc2,51,70,61,6,0.3,0,0,0,0,0,0,0,0,0,6,4357320,SFDF:Mc2
1,6,4109220,DFWF:Gm2,176,999,347,2.5,0.3,0,0,0,0,0,0,0,0,0,6,4109220,DFWF:Gm2
1,6,4108220,DFWF:Lm2,101,175,123,2.5,0.3,0,0,0,0,0,0,0,0,0,6,4109220,DFWF:Gm2
1,6,4107220,DFWF:Mm2,71,100,94,2.5,0.3,0,0,0,0,0,0,0,0,0,6,4108220,DFWF:Lm2
1,6,4209320,DG:Gc2,176,999,350,8,0.3,0,0,0,0,0,0,0,0,0,6,4209320,DG:Gc2
1,6,4207320,DG:Mc2,71,100,96,8,0.3,0,0,0,0,0,0,0,0,0,6,4008320,DF:Lc2
1,6,6055210,MH:Pm1,11,25,22,5,0.3,0,0,0,0,0,0,0,0,0,6,4006210,DF:Sm1
1,6,2057210,PK:Mm1,71,100,98,5,0.3,0,0,0,0,0,0,0,0,0,6,4008220,DF:Lm2
1,6,4359320,SFDF:Gc2,176,999,354,7,0.3,0,0,0,0,0,0,0,0,0,6,4359320,SFDF:Gc2
1,6,4352000,SFDF:GF,0,10,3,3,0.3,0,0,0,0,0,0,0,0,0,6,4354100,SFDF:Yo
1,6,4359220,SFDF:Gm2,176,999,356,7,0.3,0,0,0,0,0,0,0,0,0,6,4359220,SFDF:Gm2
1,6,4358320,SFDF:Lc2,101,175,132,7,0.3,0,0,0,0,0,0,0,0,0,6,4359320,SFDF:Gc2
1,6,4358220,SFDF:Lm2,101,175,133,7,0.3,0,0,0,0,0,0,0,0,0,6,4359220,SFDF:Gm2
1,6,4357320,SFDF:Mc2,71,100,74,7,0.3,0,0,0,0,0,0,0,0,0,6,4358320,SFDF:Lc2
1,6,4357220,SFDF:Mm2,71,100,75,7,0.3,0,0,0,0,0,0,0,0,0,6,4358220,SFDF:Lm2
