UGB_DH_ID,UGB_name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1079,Yamhill,3.964884386,4.075364322,4.188922739,4.305645415,4.425620523,4.54893869,4.675693069,4.805979409,4.939896126,5.077544379,5.219028146,5.364454303,5.513932702,5.667576258,5.825501031,5.987826315
1080,not found in 2011 UGB shapefile,5.019170576,5.287240487,5.5696278,5.867097195,6.180454194,6.510547341,6.8582705,7.224565278,7.610423568,8.016890243,8.44506598,8.896110243,9.371244422,9.871755139,10.39899774,10.95439994
1081,not found in 2011 UGB shapefile,17.85247878,22.62486607,28.67302468,36.33799829,46.05199954,58.3627817,73.96452535,93.73698189,118.7950809,150.5517989,190.7978342,241.802581,306.4420957,388.3612723,492.1793708,623.7504878
1082,Sandy,3.443773488,3.507715016,3.572843764,3.639181777,3.706751506,3.775575822,3.845678018,3.917081823,3.989811402,4.063891372,4.139346806,4.216203242,4.294486694,4.374223657,4.45544112,4.53816657
1083,Gaston,4.05818433,4.179718053,4.304891445,4.433813505,4.566596499,4.703356052,4.844211254,4.98928476,5.1387029,5.292595785,5.451097425,5.614345841,5.78248319,5.955655884,6.13401472,6.317715012
1084,North Plains,3.776692739,3.868171241,3.961865521,4.057829251,4.1561174,4.256786271,4.359893528,4.465498234,4.573660882,4.68444343,4.797909336,4.914123598,5.033152784,5.155065078,5.279930313,5.407820016
1085,Banks,3.802384881,3.896367313,3.992672681,4.091358401,4.192483307,4.296107688,4.402293321,4.511103515,4.622603137,4.736858664,4.85393821,4.973911577,5.096850291,5.222827645,5.351918745,5.484200551
1086,Metro,2.44,2.498566594,2.558538945,2.619950794,2.682836693,2.747232024,2.813173017,2.880696772,2.949841279,3.020645442,3.093149096,3.167393033,3.243419026,3.321269848,3.4009893,3.482622234
1087,Scappoose,3.469585703,3.536679797,3.605071342,3.674785429,3.745847631,3.818284018,3.892121165,3.967386158,4.044106609,4.122310664,4.202027012,4.283284897,4.36611413,4.450545096,4.53660877,4.624336724
1088,St. Helens,3.380885536,3.441022593,3.50222933,3.564524773,3.627928289,3.692459586,3.758138725,3.824986124,3.893022561,3.962269188,4.03274753,4.104479496,4.177487386,4.251793893,4.327422118,4.40439557
