WATERRIGHTID,X,Y,PODID,POUID,PERMITCODE,PODRATE,USECODE,PRIORITYDOY,YEAR,BEGINDOY,ENDDOY,REACHCOMID,LENGTH_OR_COMID,SPECIAL,CERTIFICATE
133611,534350,5027241,24665,-40,2,25,1024,1,1803,1,365,-99,-99,0,-99
148561,529344.98,4959522.19,24672,-38,2,0.6,1024,1,1803,1,365,-99,-99,0,-99
156057,498054.57,4848716.81,24715,-13,2,4,1024,1,1803,1,365,-99,-99,0,-99
158859,480241.09,4931440.6,24721,-12,2,46.7,1024,1,1803,1,365,-99,-99,0,-99
169379,476810.99,5028799.46,24609,-72,2,0.325,1024,1,1803,1,365,-99,-99,0,-99
23056,500710.33,4915274.87,24737,-8,4,1.25,1024,1,1804,1,365,-99,-99,0,-99
24948,496118,4971950,24651,-51,4,0.2228,1024,1,1804,1,365,-99,-99,0,-99
54222,472525.86,5016844.98,24728,-10,2,0.5,1024,1,1804,1,365,-99,-99,0,-99
102013,464594.28,5007205.4,24637,-57,2,0.2,1024,1,1804,1,365,-99,-99,0,-99
102583,460819.9357,4930470.234,24722,-12,2,1.934,1024,1,1804,1,365,-99,-99,0,-99
107595,546588.78,4955819.24,24692,-26,2,0.1,1024,1,1804,1,365,-99,-99,0,-99
120870,502639,4880356,24698,-22,2,90,1024,1,1804,1,365,-99,-99,0,-99
134284,518071.62,4960441.53,24627,-62,2,2.78,1024,1,1804,1,365,-99,-99,0,-99
142088,470107,5032056,24817,-40,2,65,1024,1,1804,1,365,-98,-99,0,-99
169370,476725,5028994,24610,-72,2,0.315,1024,1,1804,1,365,-99,-99,0,-99
171725,496845.27,4851159.04,24716,-13,2,0.225,1024,1,1804,1,365,-99,-99,0,-99
176059,526263.84,4918039.86,24622,-64,2,0.6,1024,1,1804,1,365,-99,-99,0,-99
176539,493683.2,5011529.99,24679,-35,2,0.16,1024,1,1804,1,365,-99,-99,0,-99
24467,490375.91,5003250.03,24680,-35,4,3.34,1024,1,1805,1,365,-99,-99,0,-99
28159,496118,4971950,24652,-51,4,42.8766,1024,1,1805,1,365,-99,-99,0,-99
42176,500829.07,4875096.76,24699,-22,2,20,1024,1,1805,1,365,-99,-99,0,-99
54716,461824.77,4930334.77,24723,-12,2,1,1024,1,1805,1,365,-99,-99,0,-99
57807,556595,5027516,24645,-52,2,0.2,1024,1,1805,1,365,-99,-99,0,-99
102013,464687.04,5007148.23,24638,-57,2,0.2,1024,1,1805,1,365,-99,-99,0,-99
134285,518071.62,4960441.53,24628,-62,2,0.82,1024,1,1805,1,365,-99,-99,0,-99
135322,531936,5024871,24666,-40,2,25,1024,1,1805,1,365,-99,-99,0,-99
137898,521751,4915766,24623,-64,2,0.076,1024,1,1805,1,365,-99,-99,0,-99
168151,472525.94,5016844.96,24729,-10,2,0.018,1024,1,1805,1,365,-99,-99,0,-99
169370,476811,5028799,24611,-72,2,0.315,1024,1,1805,1,365,-99,-99,0,-99
171725,498063.11,4848717.42,24717,-13,2,0.225,1024,1,1805,1,365,-99,-99,0,-99
39734,464236.8,5010469.08,24639,-57,2,6,1024,1,1806,1,365,-99,-99,0,-99
54716,462345.45,4927748.96,24724,-12,2,1.5,1024,1,1806,1,365,-99,-99,0,-99
65860,480161,5046088,24667,-40,2,1,1024,1,1806,1,365,-99,-99,0,-99
78523,556595,5027516,24646,-52,2,0.7,1024,1,1806,1,365,-99,-99,0,-99
94482,507793.39,4878691.7,24700,-22,4,6.08,1024,1,1806,1,365,-99,-99,0,-99
134286,518071.62,4960441.53,24629,-62,2,0.39,1024,1,1806,1,365,-99,-99,0,-99
168152,472525.94,5016844.96,24730,-10,2,0.271,1024,1,1806,1,365,-99,-99,0,-99
171726,496845.27,4851159.04,24718,-13,2,0.18,1024,1,1806,1,365,-99,-99,0,-99
176083,526263.84,4918039.86,24624,-64,2,1.99,1024,1,1806,1,365,-99,-99,0,-99
39734,465432.51,5010887.16,24640,-57,2,2,1024,1,1807,1,365,-99,-99,0,-99
45288,556595,5027516,24647,-52,2,4,1024,1,1807,1,365,-99,-99,0,-99
54716,461949.27,4928591.77,24725,-12,2,1.5,1024,1,1807,1,365,-99,-99,0,-99
120228,474967.06,5034785,24663,-40,2,4.5,1024,1,1807,1,365,-99,-99,0,-99
134289,518071.62,4960441.53,24630,-62,2,0.6,1024,1,1807,1,365,-99,-99,0,-99
168264,472686.92,5016947.66,24731,-10,2,0.229,1024,1,1807,1,365,-99,-99,0,-99
171726,498063.11,4848717.42,24719,-13,2,0.18,1024,1,1807,1,365,-99,-99,0,-99
76977,516680.08,4960083.2,24631,-62,4,5.6736,1024,1,1808,1,365,-99,-99,0,-99
120228,492751.81,5037665.73,24664,-40,2,4.5,1024,1,1808,1,365,-99,-99,0,-99
144979,464632.77,5006835.18,24641,-57,4,0.27,1024,1,1808,1,365,-99,-99,0,-99
168268,472686.92,5016947.66,24732,-10,2,0.052,1024,1,1808,1,365,-99,-99,0,-99
65860,480839,5045406,24668,-40,2,1,1024,1,1809,1,365,-99,-99,0,-99
137953,518071.62,4960441.53,24632,-62,2,10,1024,1,1809,1,365,-99,-99,0,-99
108806,529272,5032666,24757,-40,4,2.67,1024,1,1810,1,365,-99,-99,0,-99
165351,529272,5032666,24758,-40,4,2.2,1024,1,1811,1,365,-99,-99,0,-99
1000084,518316,4960421,24824,-99,2,50,2048,1,1849,1,365,23780475,23780877,0,1945_judicial_decree
102589,468121.32,4924850.33,1,11284,2,0.005,16,1,1900,1,366,23764899,3778.38,0,-99
81562,512367.87,5024526.51,4,6542,2,0.0625,16,366,1900,1,366,23806034,2328.76,0,-99
81564,512605.55,5024425.43,5,6543,2,0.2875,16,366,1900,1,366,23805338,7890.15,0,-99
81571,512061.16,5024458.28,6,6545,2,0.1375,16,366,1900,1,366,23805228,1260.21,0,-99
81592,512016.45,5024552.09,7,6546,2,0.0938,16,366,1900,1,366,23805228,1260.21,0,-99
92626,475562.76,4970422.96,8,9124,2,0.011,16,366,1900,1,366,23792287,2253.25,0,-99
101743,551408.96,4916542.03,9,11128,2,0.005,16,366,1900,1,366,23785833,2964.22,0,-99
101746,510888.7,4929354.14,10,11129,2,0.038,16,366,1900,1,366,23785681,5233.22,0,-99
101984,469828.59,4981989.08,11,11148,2,0.04,16,366,1900,1,366,23796829,3577.75,0,-99
101995,459361.33,5000648.82,12,11149,2,0.0056,16,366,1900,1,366,23797313,2486.46,0,-99
102015,459196.82,4988150.78,13,11152,2,0.015,16,366,1900,1,366,23796721,2720.28,0,-99
102582,454987.17,4944711.29,14,11283,2,0.02,16,366,1900,1,366,23762923,7190.68,0,-99
28188,488503,4886490.36,2,2407,4,0.4456,16,366,1900,61,305,23763373,10939.12,0,-99
67278,551104.82,4955561.65,3,3679,2,0.0537,16,366,1900,122,274,23780501,4551.79,0,-99
92662,469750.02,4946158.15,15,9127,2,0.011,16,212,1901,91,273,23763909,6316.26,0,-99
101981,460021.69,4988483.62,16,11147,2,0.126,16,365,1901,1,365,23796721,2720.28,0,-99
59199,503352.39,5014687.75,17,3089,2,0.129,16,365,1902,1,365,23791475,268.13,0,-99
92689,465322.74,4956360.09,18,9130,2,0.01,16,365,1902,91,273,23764285,4654.67,0,-99
79801,549584.79,4955437.69,19,6051,2,0.08,16,365,1903,1,365,23780501,4551.79,0,-99
59198,503352.39,5014687.75,20,3088,2,0.013,16,366,1904,1,366,23791475,268.13,0,-99
81662,516023.56,5024798.63,22,6550,2,0.05,16,366,1904,1,366,23806156,2501.7,0,-99
81662,516232.25,5024863.19,21,6550,2,0.05,16,366,1904,1,366,23806156,2501.7,0,-99
81271,505262.86,4868773.23,23,6467,2,0.37,16,25,1905,1,365,23759660,4433.91,0,-99
81271,505323.24,4868912.56,24,6467,2,0.37,16,25,1905,1,365,23759660,4433.91,0,-99
59204,503352.39,5014687.75,25,3090,2,0.025,16,365,1905,1,365,23791475,268.13,0,-99
92638,465456.95,4948133.17,26,9125,2,0.0125,16,365,1905,1,365,23763907,998.15,0,-99
101767,515834,4954574.74,27,11130,2,0.028,16,365,1905,1,365,23786407,2925.73,0,-99
92670,465000.44,4968979.72,28,9128,2,0.003,16,359,1906,1,365,23762695,1043.88,0,-99
81637,500756.25,5053815.33,29,6548,2,0.175,16,365,1906,1,365,23805522,2253.31,0,-99
92652,465849.74,4945718.14,30,9126,2,0.011,16,365,1906,1,365,23764515,5603.55,0,-99
92676,467137.79,4969895.64,31,9129,2,0.02,16,365,1906,1,365,23764013,1950.03,0,-99
101807,521798.97,4941254.7,32,11131,2,0.204,16,365,1906,1,365,23786219,3339.79,0,-99
81566,515903.76,5024657.72,33,6544,2,0.0688,16,365,1907,1,365,23806156,2501.7,0,-99
81639,517932.19,5030111.11,34,6549,2,0.1288,16,365,1907,1,365,23805274,2545.49,0,-99
101998,467125.72,4993834.2,35,11150,2,0.4,16,365,1907,1,365,23796677,2773.85,0,-99
183198,466831.64,4993319.85,37,15391,2,0.058,16,365,1907,1,365,23796677,2773.85,0,-99
143260,491239.71,5032942.59,36,13888,2,0.0625,16,365,1907,121,273,23805852,2720.76,0,-99
59216,503663.51,5014461.15,38,3091,2,0.05,16,366,1908,1,366,23791473,2206.63,0,-99
67211,501689.86,4972096.15,39,3677,2,0,16,366,1908,1,366,23791167,4936.7,0,-99
67213,501720.42,4972333.28,40,3678,2,0,16,366,1908,1,366,23791167,4936.7,0,-99
81628,479928.59,5051760.88,41,6547,2,0.045,16,366,1908,1,366,23805064,2856.85,0,-99
101742,524259.04,4915664.15,42,11127,2,0.048,16,366,1908,1,366,23786315,5180.72,0,-99
102014,469515.55,4981686.89,43,11151,2,0.03,16,366,1908,1,366,23796829,3577.75,0,-99
