UGB_DH_ID,UGB_name,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,pop2035,pop2040,pop2045,pop2050,pop2055,pop2060,pop2065,pop2070,pop2075,pop2080,pop2085,pop2090,pop2095,pop2100
1045,Jefferson,3178.98084,3178.98084,3178.98084,3178.98084,3178.98084,3178.98084,3178.98084,3178.98084,3178.98084,3178.98084,3178.98084,3178.98084,3178.98084,3357.472878,3624.444189,3918.237123,4207.742334,4480.479119,4740.695487,4996.462608,5253.123519,5530.844749,5804.1008,6074.409369,6341.890175,6609.897669,6878.902227,7150.014977,7421.493748,7692.61285,7963.184131
1046,Detroit,202.035245,202.035245,202.035245,202.035245,202.035245,202.035245,202.035245,202.035245,202.035245,202.035245,202.035245,202.035245,202.035245,213.379032,230.345984,249.017543,267.416602,284.749969,301.287621,317.542507,333.854197,351.504344,368.870712,386.049758,403.04909,420.081895,437.178066,454.408221,471.661637,488.892195,506.087938
1047,Mill City,2014.433032,2014.433032,2014.433032,2014.433032,2014.433032,2014.433032,2014.433032,2014.433032,2014.433032,2014.433032,2014.433032,2014.433032,2014.433032,2113.740068,2278.756774,2455.190461,2625.166831,2779.819977,2921.676896,3059.11073,3196.169454,3376.948154,3533.371311,3686.683493,3837.274761,3987.057178,4137.653254,4289.895348,4443.091575,4595.604516,4747.509633
1048,Gates,471.932058,471.932058,471.932058,471.932058,471.932058,471.932058,471.932058,471.932058,471.932058,471.932058,471.932058,471.932058,471.932058,498.09658,537.629124,581.008672,623.661341,663.7112,701.784897,739.159349,776.643744,817.988352,858.150105,897.844261,937.096184,976.398694,1015.853615,1055.628997,1095.476161,1135.25893,1174.954078
1049,Lyons,1229.473363,1229.473363,1229.473363,1229.473363,1229.473363,1229.473363,1229.473363,1229.473363,1229.473363,1229.473363,1229.473363,1229.473363,1229.473363,1288.426164,1388.64199,1495.155796,1597.279206,1689.486088,1773.298949,1854.219619,1934.798255,2045.709221,2139.169488,2230.581688,2320.22163,2409.230654,2498.758125,2589.327465,2680.565893,2771.33259,2861.696999
1050,Stayton,10612.12246,10612.12246,10612.12246,10612.12246,10612.12246,10612.12246,10612.12246,10612.12246,10612.12246,10612.12246,10612.12246,10612.12246,10612.12246,11207.96711,12099.17476,13079.91869,14046.34922,14956.80306,15825.46098,16679.26634,17536.05535,18463.14868,19375.33596,20277.6839,21170.59214,22065.25857,22963.25341,23868.28585,24774.54016,25679.59382,26582.81872
1051,Aumsville,3657.423028,3657.423028,3657.423028,3657.423028,3657.423028,3657.423028,3657.423028,3657.423028,3657.423028,3657.423028,3657.423028,3657.423028,3657.423028,3862.778431,4169.929391,4507.938677,4841.01493,5154.799078,5454.178466,5748.438987,6043.727814,6363.246577,6677.628143,6988.618624,7296.355761,7604.698852,7914.189068,8226.104762,8538.441564,8850.364566,9161.657298
1052,Turner,1877.645558,1877.645558,1877.645558,1877.645558,1877.645558,1877.645558,1877.645558,1877.645558,1877.645558,1877.645558,1877.645558,1877.645558,1877.645558,1983.070787,2140.755755,2314.282752,2485.277232,2646.367542,2800.062746,2951.130029,3102.725224,3266.759567,3428.15658,3587.812679,3745.798579,3904.095563,4062.981458,4223.112542,4383.459816,4543.594652,4703.405921
1053,Monmouth,18317.56605,18317.56605,18317.56605,18317.56605,18317.56605,18317.56605,18317.56605,18317.56605,18317.56605,18317.56605,18317.56605,18317.56605,18317.56605,19658.86533,21902.60057,24366.55551,26799.95141,29099.73352,31292.01016,33414.58541,35518.21076,37703.49292,39966.34289,42203.64302,44416.07001,46618.31536,48823.53304,51041.65448,53269.61122,55493.3424,57726.13538
1054,Falls City,953.330745,953.330745,953.330745,953.330745,953.330745,953.330745,953.330745,953.330745,953.330745,953.330745,953.330745,953.330745,953.330745,1023.138154,1139.9125,1268.148096,1394.793258,1514.484542,1628.580744,1739.049364,1848.531744,1962.263921,2080.033085,2196.472518,2311.617438,2426.232458,2541.002172,2656.443457,2772.396616,2888.129858,3004.334718
