COMMERCIAL EARNINGS (in millions of 2005 dollars),Benton,Clackamas,Columbia,Lane,Linn,Marion,Multnomah,Polk,Washington,Yamhill,Portland Metro
2046,4098.47,17250.779,770.687,13250.288,2915.849,13243.026,50149.569,1331.567,31797.525,2597.331,99197.87226
2047,4168.374,17549.783,782,13460.23,2959.571,13449.219,50860.808,1351.932,32409.725,2642.322,100820.3156
2048,4238.891,17851.462,793.38,13671.528,3003.567,13656.934,51576.019,1372.43,33028.016,2687.695,102455.4966
2049,4309.998,18155.712,804.822,13884.118,3047.823,13866.103,52295.011,1393.054,33652.161,2733.435,104102.8837
2050,4381.668,18462.42,816.323,14097.93,3092.326,14076.654,53017.583,1413.797,34281.903,2779.526,105761.9051
2051,4453.874,18771.464,827.881,14312.889,3137.06,14288.512,53743.522,1434.653,34916.962,2825.948,107431.9473
2052,4526.584,19082.712,839.491,14528.918,3182.011,14501.594,54472.605,1455.615,35557.037,2872.682,109112.3535
2053,4599.765,19396.021,851.149,14745.937,3227.161,14715.813,55204.596,1476.674,36201.804,2919.708,110802.4207
2054,4673.384,19711.238,862.851,14963.859,3272.494,14931.077,55939.249,1497.822,36850.911,2967.003,112501.398
2055,4747.401,20028.199,874.593,15182.593,3317.991,15147.288,56676.303,1519.05,37503.982,3014.543,114208.4847
2056,4821.777,20346.727,886.37,15402.047,3363.634,15364.341,57415.486,1540.35,38160.614,3062.303,115922.8275
2057,4896.467,20666.633,898.177,15622.12,3409.401,15582.126,58156.51,1561.711,38820.374,3110.255,117643.5179
2058,4971.426,20987.714,910.009,15842.709,3455.273,15800.528,58899.076,1583.124,39482.8,3158.371,119369.5906
2059,5046.603,21309.755,921.862,16063.703,3501.227,16019.421,59642.867,1604.578,40147.399,3206.62,121100.0202
2060,5121.947,21632.523,933.728,16284.991,3547.239,16238.677,60387.553,1626.061,40813.643,3254.968,122833.7185
2061,5197.401,21955.774,945.603,16506.451,3593.287,16458.157,61132.787,1647.561,41480.971,3303.382,124569.5314
2062,5272.906,22279.244,957.481,16727.96,3639.344,16677.716,61878.206,1669.068,42148.788,3351.825,126306.2369
2063,5348.397,22602.655,969.355,16949.386,3685.384,16897.203,62623.429,1690.566,42816.457,3400.257,128042.5413
2064,5423.808,22925.709,981.219,17170.594,3731.379,17116.455,63368.06,1712.043,43483.307,3448.637,129777.0762
2065,5499.066,23248.092,993.066,17391.44,3777.3,17335.305,64111.682,1733.484,44148.621,3496.922,131508.3949
2066,5574.097,23569.469,1004.888,17611.778,3823.118,17553.573,64853.858,1754.874,44811.643,3545.066,133234.9697
2067,5648.819,23889.483,1016.678,17831.45,3868.8,17771.074,65594.135,1776.197,45471.569,3593.019,134955.1872
